snr_db,sigma_step_hz,trial_index,trajectory_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,max_abs_frequency_hz,frequency_rms_hz,frequency_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,final_phase_rad,fitted_constant_hz,fitted_linear_coefficient,runtime_seconds
-30.0,0.01,2,2026100502,2026100602,1,K1ABC FN42 33,-30,0,10.140200,0.07587703231482912,0.03207629588096787,0.14549338108793383,3.3376254293115615,1.8452332053177496,6.572154858581034,2.696212597261792e-13,0.03300681209468137,0.012094252891375624,0.11587085499922978
-30.0,0.01,0,2026100500,2026100600,1,K1ABC FN42 33,-30,0,10.140200,0.08706627268076156,0.030412949831287676,0.14191204260925916,3.8390687854358423,1.9632151071173896,6.8533905651266105,-4.0338218876279086e-13,0.0030645212093909327,0.007108262944734168,0.1788652209997963
-30.0,0.01,3,2026100503,2026100603,1,K1ABC FN42 33,-30,0,10.140200,0.07978638916234715,0.030215322627960433,0.14691353071743724,4.138252789453713,2.22154963246015,6.9163616615708925,-3.9430134504692127e-13,0.18225867876494056,0.16646388312614027,0.21613054999943415
-30.0,0.01,6,2026100506,2026100606,1,K1ABC FN42 33,-30,0,10.140200,0.07726198959158363,0.03168602205297465,0.13403846878404174,4.873261373253615,2.450273718253279,8.106929738932381,5.579227401256159e-13,0.033410744697402066,0.006732921357926199,0.060446747000241885
-30.0,0.01,1,2026100501,2026100601,1,K1ABC FN42 33,-30,0,10.140200,0.10096218687182573,0.03371249948194264,0.17377002314245812,4.923937032663197,2.8948226761085136,8.172581916538377,-2.8253124124098805e-13,0.0804407229564972,-0.005799620559813208,0.3601184449998982
-30.0,0.01,4,2026100504,2026100604,1,K1ABC FN42 33,-30,0,10.140200,0.06249558089603634,0.027427283541514056,0.11642503988194498,3.571531516661408,1.9199285920066431,6.7063507383285845,-1.0196563645509249e-13,-0.01963731835009674,-0.07858614376595431,0.24816425100107153
-30.0,0.01,7,2026100507,2026100607,1,K1ABC FN42 33,-31,0,10.140200,0.05345542072719445,0.019442159534515273,0.10553186220962649,1.6571377301587427,0.6785704137870608,3.0970875003728207,3.394875526530061e-14,0.02525244260363734,0.038867023936151775,0.09884360800060676
-30.0,0.01,5,2026100505,2026100605,1,K1ABC FN42 33,-30,0,10.140200,0.10875573074192403,0.05329953264599074,0.18730657806339118,8.456689423304908,5.561799850892724,16.1017636737034,3.849060827010309e-13,-0.0017757054467297038,-0.029606210438718843,0.24518514200099162
-30.0,0.01,9,2026100509,2026100609,1,K1ABC FN42 33,-30,0,10.140200,0.08056743739414672,0.032115265733740954,0.14175877341750995,4.665232379716655,2.4499445021598873,8.599830253985672,-4.90357754401316e-13,0.011810812564594078,-0.018115791414105218,0.06606008100061445
-30.0,0.01,8,2026100508,2026100608,1,K1ABC FN42 33,-30,0,10.140200,0.045306401075616606,0.019214889707929547,0.08872911523779775,1.6575433997358224,0.7804246670717557,3.0971765412025323,1.8626484903083718e-14,-0.03955397271531902,-0.03475452315950251,0.08269580100022722
-30.0,0.01,10,2026100510,2026100610,1,K1ABC FN42 33,-31,0,10.140200,0.07779709187026482,0.03413335244549043,0.1489110513736408,3.6551006608257195,1.7620834854974494,6.827609001973451,-1.8609170194389124e-13,-0.042222140383057286,-0.08755294550912085,0.08462709200102836
