tau_seconds,symbol_index,symbol_center_time_seconds,x,raw_hz,constant_linear_fit_hz,residual_hz,normalized_thermal_residual,normalized_quadratic_residual
5,0,0.3413333333333333,-1.0,0.06598862933387606,0.8323254861542612,-0.7663368568203851,-1.0,1.0
5,1,1.024,-0.9876543209876543,0.18518973783127057,0.8338472052166144,-0.6486574673853438,-0.8464390843430056,0.9627329192546583
5,2,1.7066666666666666,-0.9753086419753086,0.28917807193077527,0.8353689242789676,-0.5461908523481923,-0.7127294576622577,0.9259316770186335
5,3,2.389333333333333,-0.9629629629629629,0.3798951278801884,0.8368906433413208,-0.4569955154611324,-0.5963376436796429,0.8895962732919253
5,4,3.072,-0.9506172839506173,0.4590346228186707,0.8384123624036739,-0.3793777395850032,-0.4950534953507034,0.8537267080745341
5,5,3.7546666666666666,-0.9382716049382716,0.5280741170303276,0.8399340814660271,-0.3118599644356995,-0.40694893069562177,0.8183229813664594
5,6,4.437333333333333,-0.9259259259259259,0.588302600478529,0.8414558005283803,-0.2531532000498513,-0.33034193487732205,0.783385093167702
5,7,5.12,-0.9135802469135802,0.6408445586705954,0.8429775195907335,-0.2021329609201381,-0.263765156433699,0.7489130434782607
5,8,5.802666666666666,-0.9012345679012346,0.6866809671704226,0.8444992386530867,-0.15781827148266414,-0.2059385113453492,0.7149068322981366
5,9,6.485333333333333,-0.8888888888888888,0.7266676067334732,0.84602095771544,-0.11935335098196675,-0.15574528344777358,0.6813664596273291
5,10,7.168,-0.8765432098765432,0.7615510410136994,0.847542676777793,-0.08599163576409363,-0.11221127497492718,0.6482919254658386
5,11,7.850666666666666,-0.8641975308641975,0.7919825551514188,0.8490643958401463,-0.05708184068872746,-0.07448661796793413,0.6156832298136645
5,12,8.533333333333333,-0.8518518518518519,0.818530315480142,0.8505861149024995,-0.03205579942235748,-0.041829906962012074,0.5835403726708074
5,13,9.216,-0.8395061728395061,0.8416899773780613,0.8521078339648527,-0.010417856586791396,-0.013594356703677564,0.5518633540372668
5,14,9.898666666666667,-0.8271604938271605,0.8618939393162595,0.8536295530272059,0.008264386289053571,0.010784273541720815,0.5206521739130434
5,15,10.581333333333333,-0.8148148148148148,0.8795194158797509,0.8551512720895591,0.02436814379019181,0.03179821454927522,0.48990683229813653
5,16,11.264,-0.8024691358024691,0.8948954804872994,0.8566729911519122,0.03822248933538719,0.049876877244266246,0.45962732919254656
5,17,11.946666666666665,-0.7901234567901234,0.9083092092998991,0.8581947102142654,0.0501144990856337,0.06539486994474493,0.4298136645962731
5,18,12.629333333333333,-0.7777777777777778,0.9200110410267011,0.8597164292766186,0.06029461175008244,0.07867899242149377,0.4004658385093167
5,19,13.312,-0.7654320987654321,0.9302194526977172,0.8612381483389718,0.06898130435874539,0.09001433735675499,0.3715838509316768
5,20,13.994666666666665,-0.7530864197530864,0.9391250387015094,0.862759867401325,0.07636517130018439,0.09964961311795935,0.34316770186335394
5,21,14.677333333333333,-0.7407407407407407,0.9468940692448324,0.8642815864636781,0.0826124827811543,0.10780178722438388,0.3152173913043476
5,22,15.36,-0.7283950617283951,0.9536715946718378,0.8658033055260314,0.08786828914580647,0.11466013720178037,0.2877329192546584
5,23,16.042666666666666,-0.7160493827160493,0.9595841536014952,0.8673250245883846,0.09225912901311062,0.12038978445575979,0.26071428571428557
5,24,16.72533333333333,-0.7037037037037037,0.9647421354450421,0.8688467436507378,0.09589539179430429,0.1251347771425019,0.23416149068322975
5,25,17.407999999999998,-0.691358024691358,0.969241841412438,0.870368462713091,0.09887337869934698,0.1290207795949987,0.20807453416149055
5,26,18.090666666666667,-0.6790123456790124,0.9731672824874874,0.8718901817754441,0.10127710071204332,0.1321574185172993,0.18245341614906826
5,27,18.773333333333333,-0.6666666666666666,0.9765917479404164,0.8734119008377973,0.10317984710261907,0.1346403297509707,0.1572981366459626
5,28,19.456,-0.654320987654321,0.9795791736625452,0.8749336199001505,0.1046455537623947,0.13655294382757535,0.13260869565217387
5,29,20.138666666666666,-0.6419753086419753,0.9821853358703151,0.8764553389625037,0.10572999690781137,0.13796804364401397,0.10838509316770169
5,30,20.82133333333333,-0.6296296296296297,0.9844588924655123,0.8779770580248569,0.1064818344406554,0.13894912334304277,0.08462732919254659
5,31,21.503999999999998,-0.6172839506172839,0.9864422914942276,0.87949877708721,0.10694351440701755,0.13955157376970986,0.061335403726707885
5,32,22.186666666666667,-0.6049382716049383,0.9881725636657752,0.8810204961495632,0.10715206751621198,0.13982371663656834,0.03850931677018626
5,33,22.869333333333334,-0.5925925925925926,0.989682013728162,0.8825422152119164,0.10713979851624555,0.13980770670587372,0.016149068322981196
