tau_seconds,raw_start_hz,raw_end_hz,fitted_constant_hz,fitted_linear_coefficient,residual_max_abs_hz,residual_peak_to_peak_hz,residual_rms_hz,residual_mean_hz,dot_with_constant,dot_with_x,pearson_correlation,cosine_similarity,rms_shape_difference,max_abs_shape_difference
5,0.06598862933387606,0.999999999734693,0.9555847302048696,0.12325924405060837,0.7663368568203851,0.8734889243365971,0.12421981552269769,-4.920618096795447e-16,-7.971401316808624e-14,3.615890701012745e-15,-0.6123069919375967,-0.6123069919375964,0.5694337694785988,2.0
15,0.022498600642196553,0.9993574361986702,0.8662953922981054,0.29681363202589284,0.546983159630016,0.6959723198730958,0.14162695632601247,-2.1656202208737621e-16,-3.4083846855992306e-14,-3.5059013457892883e-15,-0.8685247602707752,-0.8685247602707756,0.6924508050022128,2.0
30,0.011313295650334232,0.9746511577911388,0.7380290569574751,0.4037351535044632,0.3229806078026777,0.4395229107648668,0.10613239973364189,-4.392919498671144e-16,-7.027711745877241e-14,-3.920409748931979e-15,-0.9568532297888953,-0.9568532297888955,0.7758951904299048,2.0
60,0.005672737802253636,0.8407868026548638,0.5458180869947798,0.39878923925788773,0.14135610993463849,0.2015993594648225,0.054137309302845264,-1.9291838359998861e-16,-3.097522238704187e-14,-5.51605278876443e-15,-0.9882414948246999,-0.9882414948246997,0.8361079319854828,2.0
120,0.0028404028452886365,0.6009847153991013,0.3484935506217418,0.2968811472580332,0.048772000518419956,0.07147504866896531,0.02033001640385122,-1.3535126380461014e-16,-2.1926904736346842e-14,4.1870711168814224e-15,-0.996991465603648,-0.9969914656036485,0.8717555483306627,2.0
300,0.0011371307540549713,0.3075382119970397,0.16456284963735948,0.1538147282037421,0.00961099067956242,0.014332792601941674,0.004223884882480915,-7.864079757761526e-17,-1.2739809207573671e-14,-7.700483025670392e-16,-0.999515439642304,-0.9995154396423039,0.8949492684845015,2.0
