trajectory_family,n_trials,descriptor,median,p25,p75,iqr
quadratic_positive,600,frequency_rms_hz,0.17083980319011513,0.11389320212674342,0.22778640425348684,0.11389320212674342
quadratic_positive,600,first_difference_rms_hz,0.008118831548726729,0.00541255436581782,0.01082510873163564,0.00541255436581782
quadratic_positive,600,total_variation_hz,1.1319875776397517,0.7546583850931678,1.5093167701863357,0.7546583850931678
quadratic_positive,600,second_difference_rms_hz,0.00017468944099378916,0.00011645962732919277,0.00023291925465838555,0.00011645962732919277
quadratic_positive,600,max_abs_phase_rad,25.544106444160473,17.029404296106982,34.058808592213964,17.029404296106982
quadratic_negative,600,frequency_rms_hz,0.17083980319011513,0.11389320212674342,0.22778640425348684,0.11389320212674342
quadratic_negative,600,first_difference_rms_hz,0.008118831548726729,0.00541255436581782,0.01082510873163564,0.00541255436581782
quadratic_negative,600,total_variation_hz,1.1319875776397517,0.7546583850931678,1.5093167701863357,0.7546583850931678
quadratic_negative,600,second_difference_rms_hz,0.00017468944099378916,0.00011645962732919277,0.00023291925465838555,0.00011645962732919277
quadratic_negative,600,max_abs_phase_rad,25.544106444160473,17.029404296106982,34.058808592213964,17.029404296106982
thermal_tau30,600,frequency_rms_hz,0.12322612856196918,0.08215075237464613,0.16430150474929225,0.08215075237464613
thermal_tau30,600,first_difference_rms_hz,0.006792688104973306,0.00452845873664887,0.00905691747329774,0.00452845873664887
thermal_tau30,600,total_variation_hz,0.8338664897012918,0.5559109931341946,1.1118219862683891,0.5559109931341946
thermal_tau30,600,second_difference_rms_hz,0.00021771028337190236,0.00014514018891460158,0.00029028037782920316,0.00014514018891460158
thermal_tau30,600,max_abs_phase_rad,19.67739653563511,13.118264357090073,26.236528714180146,13.118264357090073
thermal_tau60,600,frequency_rms_hz,0.1436194798933994,0.09574631992893294,0.19149263985786588,0.09574631992893294
thermal_tau60,600,first_difference_rms_hz,0.0071199037155465095,0.004746602477031007,0.009493204954062013,0.004746602477031007
thermal_tau60,600,total_variation_hz,0.9569973898320265,0.6379982598880177,1.2759965197760355,0.6379982598880177
thermal_tau60,600,second_difference_rms_hz,0.00017559614300133232,0.00011706409533422154,0.0002341281906684431,0.00011706409533422154
thermal_tau60,600,max_abs_phase_rad,22.415937508559523,14.943958339039682,29.887916678079364,14.943958339039682
thermal_tau120,600,frequency_rms_hz,0.15631419811383185,0.10420946540922124,0.20841893081844248,0.10420946540922124
thermal_tau120,600,first_difference_rms_hz,0.0075104591441416645,0.00500697276276111,0.01001394552552222,0.00500697276276111
thermal_tau120,600,total_variation_hz,1.0372463594688701,0.6914975729792467,1.3829951459584935,0.6914975729792467
thermal_tau120,600,second_difference_rms_hz,0.00016787662331708668,0.00011191774887805778,0.00022383549775611557,0.00011191774887805778
thermal_tau120,600,max_abs_phase_rad,23.93906650691813,15.959377671278755,31.91875534255751,15.959377671278755
random_walk,2400,frequency_rms_hz,0.0889794864578714,0.043232439394614484,0.1702181768534257,0.1269857374588112
random_walk,2400,first_difference_rms_hz,0.02866576154086358,0.015731661966871906,0.05317636796156132,0.03744470599468941
random_walk,2400,total_variation_hz,3.7348024977573813,2.0179292112200504,6.715248028268178,4.697318817048128
random_walk,2400,second_difference_rms_hz,0.040844617077727324,0.021661866803305826,0.07216923142925694,0.05050736462595111
random_walk,2400,max_abs_phase_rad,10.506195507806435,5.545587307294353,21.36520328814662,15.819615980852268
