message,callsign,grid,power,condition,snr_db,linear_drift_hz,quadratic_residual_hz,trial_index,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,runtime_seconds
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,75,2026112075,1,JA1QRS PM95 17,-30,0,0.22474973699999623
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,72,2026112072,0,,,,0.522992964999986
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,74,2026112074,0,,,,0.5445472019999897
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,78,2026112078,1,JA1QRS PM95 17,-31,0,0.27375291499998866
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,79,2026112079,1,JA1QRS PM95 17,-30,0,0.10811126699999818
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,76,2026112076,0,,,,0.5224577170000089
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,82,2026112082,1,JA1QRS PM95 17,-30,0,0.06633896700000719
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,77,2026112077,0,,,,0.5313923479999971
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,84,2026112084,1,JA1QRS PM95 17,-30,0,0.061270065000002205
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,83,2026112083,1,JA1QRS PM95 17,-30,0,0.2780823939999948
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,80,2026112080,0,,,,0.5048578859999964
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,81,2026112081,0,,,,0.5001642290000063
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,85,2026112085,1,JA1QRS PM95 17,-31,0,0.32958101799999895
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,86,2026112086,1,JA1QRS PM95 17,-30,0,0.2413570330000141
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,90,2026112090,0,,,,0.04398405599999933
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,88,2026112088,0,,,,0.3989767850000021
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,91,2026112091,1,JA1QRS PM95 17,-31,0,0.3707447019999961
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,89,2026112089,0,,,,0.5060071849999872
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,87,2026112087,0,,,,0.6147335569999939
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,92,2026112092,1,JA1QRS PM95 17,-31,0,0.27160024900001645
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,93,2026112093,1,JA1QRS PM95 17,-30,0,0.2630164600000171
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,95,2026112095,1,JA1QRS PM95 17,-31,0,0.3875297470000021
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,97,2026112097,1,JA1QRS PM95 17,-30,0,0.2005549249999774
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,98,2026112098,1,JA1QRS PM95 17,-31,0,0.08168154400001981
JA1QRS PM95 17,JA1QRS,PM95,17,linear_drift,-30.5,0.5,0.0,94,2026112094,0,,,,0.5273683540000036
