snr_db,+0.0,+0.2,-0.2,+0.5,-0.5,+0.8,-0.8,+1.0,-1.0
-29.5,0.995,0.995,0.975,0.935,0.925,0.79,0.735,0.72,0.73
-30.0,0.98,0.925,0.925,0.71,0.74,0.445,0.455,0.385,0.4
-30.5,0.89,0.845,0.815,0.475,0.485,0.175,0.245,0.13,0.12
-31.0,0.775,0.565,0.635,0.23,0.22,0.035,0.05,0.025,0.035
-31.5,0.5,0.395,0.36,0.065,0.075,0.03,0.015,0.0,0.0
