snr_db,+0.0,+0.5,-0.5,+1.0,-1.0,+1.5,-1.5,+2.0,-2.0
-28.0,1.0,1.0,1.0,1.0,1.0,0.97,0.98,0.91,0.91
-29.0,1.0,1.0,0.99,0.94,0.89,0.84,0.83,0.82,0.8
-30.0,0.98,0.72,0.76,0.37,0.31,0.32,0.26,0.25,0.33
-31.0,0.79,0.2,0.28,0.02,0.06,0.01,0.05,0.02,0.03
-32.0,0.31,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.01
