snr_db,drift_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds,decoder_exit_status,wsprd_version,decoder_stdout,decoder_stderr
-29.0,-1.0,17,2026102517,1,K1ABC FN42 33,-29,0,10.140200,0.05999354799860157,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,18,2026102518,1,K1ABC FN42 33,-29,0,10.140200,0.057345080998857156,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,15,2026102515,1,K1ABC FN42 33,-29,-1,10.140200,0.08414719800020976,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.1  10.140200 -1  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,19,2026102519,1,K1ABC FN42 33,-28,0,10.140200,0.060122155999124516,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -28 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,22,2026102522,1,K1ABC FN42 33,-28,0,10.140200,0.04600700000082725,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -28 -0.0  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,21,2026102521,1,K1ABC FN42 33,-29,0,10.140200,0.06934778200047731,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.1  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,20,2026102520,1,K1ABC FN42 33,-29,0,10.140200,0.07333334400027525,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.1  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,26,2026102526,1,K1ABC FN42 33,-29,0,10.140200,0.05010296699947503,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.1  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,23,2026102523,1,K1ABC FN42 33,-30,0,10.140200,0.06434795899986057,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.1  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,28,2026102528,1,K1ABC FN42 33,-29,0,10.140200,0.05316402899916284,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.1  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
-29.0,-1.0,27,2026102527,1,K1ABC FN42 33,-28,-1,10.140200,0.09239579000131926,0,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -28 -0.1  10.140200 -1  K1ABC FN42 33 
<DecodeFinished>",
