snr_db,tau_seconds,target_A_res_hz,K_required_hz,actual_A_res_hz,n,successes,p_decode,Wilson95_low,Wilson95_high,mean_runtime_seconds
-30.0,30,0.25,0.7740402796960969,0.24999999999999983,100,93,0.93,0.8625048526092651,0.9656807389327273,0.18095916762001252
-30.0,30,0.5,1.5480805593921938,0.49999999999999967,100,68,0.68,0.5833738138954762,0.7633085267500092,0.2763180960500176
-30.0,60,0.25,1.768582908199704,0.2500000000000001,100,91,0.91,0.837737871472837,0.9519274599974348,0.18658942470998227
-30.0,60,0.5,3.537165816399408,0.5000000000000002,100,50,0.5,0.4038315303659956,0.5961684696340044,0.3260482865199174
-30.0,120,0.25,5.125891850706048,0.2499999999999996,100,94,0.94,0.8752318455410406,0.9722138760368118,0.19660410024001065
-30.0,120,0.5,10.251783701412096,0.4999999999999992,100,46,0.46,0.36560808309024106,0.5573513967663177,0.31539768489004927
-30.5,30,0.25,0.7740402796960969,0.24999999999999983,100,77,0.77,0.6784561697712622,0.8415673411969654,0.2700803307200567
-30.5,30,0.5,1.5480805593921938,0.49999999999999967,100,42,0.42,0.3279838267435473,0.5179351329695703,0.3829459937500269
-30.5,60,0.25,1.768582908199704,0.2500000000000001,100,79,0.79,0.7002003116591013,0.858343459380847,0.28147745091999243
-30.5,60,0.5,3.537165816399408,0.5000000000000002,100,22,0.22,0.150012823846054,0.31070353514985793,0.4324829729600151
-30.5,120,0.25,5.125891850706048,0.2499999999999996,100,75,0.75,0.656955364519384,0.8245478863771232,0.28210205797003257
-30.5,120,0.5,10.251783701412096,0.4999999999999992,100,15,0.15,0.0930598528365663,0.23283559590832364,0.43894634759994916
-31.0,30,0.25,0.7740402796960969,0.24999999999999983,100,55,0.55,0.45244602997442135,0.6438546202048803,0.34525400026007447
-31.0,30,0.5,1.5480805593921938,0.49999999999999967,100,23,0.23,0.15843265880303448,0.3215438302287378,0.4000085506100004
-31.0,60,0.25,1.768582908199704,0.2500000000000001,100,44,0.44,0.34672026630160796,0.5377189534832302,0.3635075727399999
-31.0,60,0.5,3.537165816399408,0.5000000000000002,100,8,0.08,0.041093461484380624,0.14998107700948735,0.4233519376199547
-31.0,120,0.25,5.125891850706048,0.2499999999999996,100,48,0.48,0.384645517580519,0.5768342223477603,0.3552470707599787
-31.0,120,0.5,10.251783701412096,0.4999999999999992,100,6,0.06,0.027786123963188192,0.1247681544589592,0.4276606081399768
