noise_family,carrier_frequency_hz,target_sigma_y_1s,realized_sigma_y_1s,snr_db,trial_index,oscillator_seed,noise_seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,raw_frequency_rms_hz,raw_max_abs_frequency_hz,residual_frequency_rms_hz,residual_max_abs_frequency_hz,residual_peak_to_peak_hz,max_abs_phase_rad,phase_rms_rad,phase_peak_to_peak_rad,fitted_constant_hz,fitted_linear_coefficient,dot_with_constant,dot_with_x,runtime_seconds
white_FM,10000000.0,1e-09,9.907281745582283e-10,-31.0,1,2026102001,2026111101,1,K1ABC FN42 33,-30,0,10.140200,0.009869619198713769,0.0370014089084278,0.009551003698310054,0.03836777196903991,0.06024107428265458,0.3562542342544668,0.14091313415052073,0.6475380483381541,-0.0016432626283601436,0.0032041235696557277,-2.0816681711721685e-17,-3.728060503766911e-17,0.29444403700108523
white_FM,10000000.0,1e-09,1.0294195547662592e-09,-30.5,0,2026102000,2026101100,1,K1ABC FN42 33,-30,0,10.140200,0.0099041803195806,0.027849671820785897,0.009809329305379238,0.02811072324674592,0.053870858478326566,0.32504551581734115,0.14597170723238756,0.6083340718411165,0.0002162065819715051,-0.0023345649608164645,-3.469446951953614e-18,2.6555102985222292e-17,0.31675072300095053
white_FM,10000000.0,1e-09,1.0294195547662592e-09,-31.0,0,2026102000,2026111100,1,K1ABC FN42 33,-31,0,10.140200,0.0099041803195806,0.027849671820785897,0.009809329305379238,0.02811072324674592,0.053870858478326566,0.32504551581734115,0.14597170723238756,0.6083340718411165,0.0002162065819715051,-0.0023345649608164645,-3.469446951953614e-18,2.6555102985222292e-17,0.3160328339999978
white_FM,10000000.0,1e-09,9.907281745582283e-10,-30.5,1,2026102001,2026101101,1,K1ABC FN42 33,-30,0,10.140200,0.009869619198713769,0.0370014089084278,0.009551003698310054,0.03836777196903991,0.06024107428265458,0.3562542342544668,0.14091313415052073,0.6475380483381541,-0.0016432626283601436,0.0032041235696557277,-2.0816681711721685e-17,-3.728060503766911e-17,0.3224345720009296
white_FM,10000000.0,1e-09,9.982001806755875e-10,-30.5,2,2026102002,2026101102,1,K1ABC FN42 33,-31,0,10.140200,0.010327198437204647,0.02483596224182357,0.010051653527935762,0.027798860931506048,0.049750887802033676,0.4426842418446548,0.1922128014154565,0.876103459096235,0.0017671621444787407,0.002767276004614362,-1.3183898417423734e-16,-6.459295031183884e-17,0.2612962030016206
white_FM,10000000.0,1e-09,9.982001806755875e-10,-31.0,2,2026102002,2026111102,1,K1ABC FN42 33,-31,0,10.140200,0.010327198437204647,0.02483596224182357,0.010051653527935762,0.027798860931506048,0.049750887802033676,0.4426842418446548,0.1922128014154565,0.876103459096235,0.0017671621444787407,0.002767276004614362,-1.3183898417423734e-16,-6.459295031183884e-17,0.2586807719999342
white_FM,10000000.0,1e-09,9.186654106010886e-10,-30.5,3,2026102003,2026101103,1,K1ABC FN42 33,-30,0,10.140200,0.009193215883239682,0.030675724383530546,0.009160687801761923,0.02971900944610981,0.059065452210854685,0.324178468282513,0.1491357026732824,0.6098652737457466,0.0007171047235991099,-0.0004852106829887915,-5.898059818321144e-17,8.16438145955924e-18,0.2639427570011321
white_FM,10000000.0,1e-09,9.186654106010886e-10,-31.0,3,2026102003,2026111103,1,K1ABC FN42 33,-32,0,10.140200,0.009193215883239682,0.030675724383530546,0.009160687801761923,0.02971900944610981,0.059065452210854685,0.324178468282513,0.1491357026732824,0.6098652737457466,0.0007171047235991099,-0.0004852106829887915,-5.898059818321144e-17,8.16438145955924e-18,0.2726945270005672
white_FM,10000000.0,1e-09,1.141478758598263e-09,-31.0,4,2026102004,2026111104,1,K1ABC FN42 33,-32,0,10.140200,0.010717718093775044,0.02733971285192944,0.010530428067535407,0.02690079758210655,0.050283736310908614,0.3544954829862135,0.1231688295203257,0.6236416472027229,-0.0005072551382686207,0.003332165350235311,2.7755575615628914e-17,-3.358994442018051e-17,0.262557497000671
white_FM,10000000.0,1e-09,1.141478758598263e-09,-30.5,4,2026102004,2026101104,1,K1ABC FN42 33,-31,0,10.140200,0.010717718093775044,0.02733971285192944,0.010530428067535407,0.02690079758210655,0.050283736310908614,0.3544954829862135,0.1231688295203257,0.6236416472027229,-0.0005072551382686207,0.003332165350235311,2.7755575615628914e-17,-3.358994442018051e-17,0.2792848380013311
white_FM,10000000.0,1e-09,7.912571917419495e-10,-30.5,5,2026102005,2026101105,1,K1ABC FN42 33,-30,0,10.140200,0.008920046253263973,0.025949447505535243,0.008899913545112546,0.02656607862809209,0.04459095868261756,0.40184628294583574,0.19613920507257768,0.720625002986433,0.00013025291633965533,-0.0010101701206049324,-2.949029909160572e-17,1.3597196485911818e-17,0.2585625240008085
