noise_family,carrier_frequency_hz,target_sigma_y_1s,snr_db,n,successes,p_decode,Wilson95_low,Wilson95_high,median_realized_sigma_y_1s,median_residual_frequency_rms_hz,median_residual_max_abs_frequency_hz,median_max_abs_phase_rad,mean_runtime_seconds
white_FM,10000000.0,1e-09,-31.0,100,76,0.76,0.6676766365018553,0.8330867444305122,9.848274312801866e-10,0.009716995072669151,0.02744195018704075,0.3813748789918898,0.2790070168800412
white_FM,10000000.0,1e-09,-30.5,100,85,0.85,0.7671644040916763,0.9069401471634337,9.848274312801866e-10,0.009716995072669151,0.02744195018704075,0.3813748789918898,0.2747692292501233
white_FM,10000000.0,3e-09,-30.5,100,90,0.9,0.8256343384950865,0.9447708629393249,2.969270589275286e-09,0.0292139606532752,0.08178691758752255,1.140048181157866,0.253902934710095
white_FM,10000000.0,3e-09,-31.0,100,76,0.76,0.6676766365018553,0.8330867444305122,2.969270589275286e-09,0.0292139606532752,0.08178691758752255,1.140048181157866,0.29807827309996354
white_FM,10000000.0,1e-08,-31.0,100,53,0.53,0.4328885697009936,0.6248918204065872,9.931819572620326e-09,0.09746334351361655,0.27522246477396134,3.7677562531311954,0.35616214929990747
white_FM,10000000.0,1e-08,-30.5,100,76,0.76,0.6676766365018553,0.8330867444305122,9.931819572620326e-09,0.09746334351361655,0.27522246477396134,3.7677562531311954,0.32065025600995795
white_FM,14000000.0,1e-09,-30.5,100,87,0.87,0.7901964855992357,0.9224283257275948,9.907445395707687e-10,0.0138954019215559,0.0383133247074086,0.5369260548300943,0.26679556906998186
white_FM,14000000.0,1e-09,-31.0,100,73,0.73,0.6356788323205499,0.8073041585042365,9.907445395707687e-10,0.0138954019215559,0.0383133247074086,0.5369260548300943,0.2866233567798554
white_FM,14000000.0,3e-09,-30.5,100,90,0.9,0.8256343384950865,0.9447708629393249,2.9596459448808043e-09,0.0413136887568424,0.11486498060438995,1.581291005524383,0.25952949795011593
white_FM,14000000.0,3e-09,-31.0,100,79,0.79,0.7002003116591013,0.858343459380847,2.9596459448808043e-09,0.0413136887568424,0.11486498060438995,1.581291005524383,0.27994228877007116
white_FM,14000000.0,1e-08,-30.5,100,66,0.66,0.5627772885472462,0.7453847920265184,9.974589910462966e-09,0.13778491513392466,0.3821914721896521,5.403567731446008,0.33564015297997685
white_FM,14000000.0,1e-08,-31.0,100,39,0.39,0.3001687400639441,0.4879698295415926,9.974589910462966e-09,0.13778491513392466,0.3821914721896521,5.403567731446008,0.3756224881700291
white_FM,28000000.0,1e-09,-30.5,100,86,0.86,0.7786281178903616,0.9147365634006086,9.72910565363136e-10,0.027188274190593602,0.0738431510671585,1.1164085434698117,0.27568039974996283
white_FM,28000000.0,1e-09,-31.0,100,67,0.67,0.5730534379509052,0.7543687726587197,9.72910565363136e-10,0.027188274190593602,0.0738431510671585,1.1164085434698117,0.3069671287899291
white_FM,28000000.0,3e-09,-31.0,100,65,0.65,0.5525444329688796,0.7363575175690247,2.914986755901213e-09,0.08193881280504764,0.2254058728127861,3.1796492963628067,0.3194061263500771
white_FM,28000000.0,3e-09,-30.5,100,80,0.8,0.7111708344068411,0.8666330666689676,2.914986755901213e-09,0.08193881280504764,0.2254058728127861,3.1796492963628067,0.31299982642995017
white_FM,28000000.0,1e-08,-31.0,100,3,0.03,0.010254524024038925,0.0845193642905276,9.885614368474161e-09,0.27592698329671883,0.7563591657792315,10.823839370084647,0.39815758244008975
white_FM,28000000.0,1e-08,-30.5,100,14,0.14,0.08526343659939134,0.22137188210963837,9.885614368474161e-09,0.27592698329671883,0.7563591657792315,10.823839370084647,0.44571423340990807
flicker_FM,10000000.0,1e-09,-31.0,100,76,0.76,0.6676766365018553,0.8330867444305122,9.828632766474562e-10,0.0155078138560047,0.04252956212807785,1.3179703240764946,0.2802823741899374
flicker_FM,10000000.0,1e-09,-30.5,100,88,0.88,0.8018790057328857,0.9300059356298052,9.828632766474562e-10,0.0155078138560047,0.04252956212807785,1.3179703240764946,0.2740143268299653
flicker_FM,10000000.0,3e-09,-31.0,100,75,0.75,0.656955364519384,0.8245478863771232,3.007656689428843e-09,0.04662533624056065,0.12349117214529726,3.981893086985292,0.3151261734000036
flicker_FM,10000000.0,3e-09,-30.5,100,85,0.85,0.7671644040916763,0.9069401471634337,3.007656689428843e-09,0.04662533624056065,0.12349117214529726,3.981893086985292,0.2760823871599314
flicker_FM,10000000.0,1e-08,-31.0,100,22,0.22,0.150012823846054,0.31070353514985793,1.0009086427447856e-08,0.1557019467140499,0.4298727797132247,13.924525483092768,0.42120985607007244
flicker_FM,10000000.0,1e-08,-30.5,100,46,0.46,0.36560808309024106,0.5573513967663177,1.0009086427447856e-08,0.1557019467140499,0.4298727797132247,13.924525483092768,0.3860274577101518
flicker_FM,14000000.0,1e-09,-30.5,100,86,0.86,0.7786281178903616,0.9147365634006086,9.883771353652408e-10,0.022130973756592398,0.06221307439177565,2.0232582028109967,0.2650919046998206
flicker_FM,14000000.0,1e-09,-31.0,100,68,0.68,0.5833738138954762,0.7633085267500092,9.883771353652408e-10,0.022130973756592398,0.06221307439177565,2.0232582028109967,0.31152982709991195
flicker_FM,14000000.0,3e-09,-30.5,100,88,0.88,0.8018790057328857,0.9300059356298052,2.9952552232798882e-09,0.06670304032282079,0.17574088771828922,5.91736016519979,0.2543410249200679
flicker_FM,14000000.0,3e-09,-31.0,100,70,0.7,0.6041514536665332,0.7810511470506724,2.9952552232798882e-09,0.06670304032282079,0.17574088771828922,5.91736016519979,0.32265187355003944
flicker_FM,14000000.0,1e-08,-30.5,100,20,0.2,0.1333669333310325,0.2888291655931589,1.0116966518196373e-08,0.22053873874994906,0.6036028674427499,18.115997687440363,0.42485124508999433
flicker_FM,14000000.0,1e-08,-31.0,100,11,0.11,0.06254196357064568,0.18631296503080313,1.0116966518196373e-08,0.22053873874994906,0.6036028674427499,18.115997687440363,0.4177873259800072
flicker_FM,28000000.0,1e-09,-30.5,100,85,0.85,0.7671644040916763,0.9069401471634337,9.934315165682217e-10,0.0430481719969606,0.11726906025873765,3.6459788264497615,0.2789372229001128
flicker_FM,28000000.0,1e-09,-31.0,100,70,0.7,0.6041514536665332,0.7810511470506724,9.934315165682217e-10,0.0430481719969606,0.11726906025873765,3.6459788264497615,0.30690180480996787
flicker_FM,28000000.0,3e-09,-31.0,100,41,0.41,0.3186731302113651,0.5079856994658921,2.969479249587865e-09,0.1243660413493579,0.3353881443252976,10.193109121895422,0.3823371528099779
flicker_FM,28000000.0,3e-09,-30.5,100,69,0.69,0.5937394428051057,0.7722030278762395,2.969479249587865e-09,0.1243660413493579,0.3353881443252976,10.193109121895422,0.3193752807099736
flicker_FM,28000000.0,1e-08,-31.0,100,0,0.0,3.469446951953614e-18,0.03699349820698568,9.915382657071293e-09,0.42637485745387266,1.1484709862822773,34.57381261086485,0.2574452035500326
