model,log_likelihood,AIC,BIC,Brier_score,iterations
M0,-1763.1990755036716,3534.398151007343,3559.15290750512,0.1606885702520754,7
M1,-1697.6596495045433,3405.3192990090865,3436.2627446313077,0.15379698412982773,7
