replicate,bDA,status,iterations,error
1,9.71082832291182,success,5,
2,8.924720182990544,success,5,
3,11.28441096909508,success,5,
4,10.526101645468529,success,5,
5,10.655254634403338,success,4,
6,9.535198451905691,success,5,
7,10.283518951936271,success,5,
8,10.125944135228334,success,4,
9,10.207413062584857,success,5,
10,10.987842279206879,success,5,
11,9.332790710151457,success,5,
12,10.675599259410237,success,5,
13,9.636195225856126,success,5,
14,10.174130172943542,success,4,
15,8.67550661793796,success,5,
16,9.945268166772822,success,5,
17,9.273431630371027,success,5,
18,11.269207348588163,success,5,
19,11.567594003309726,success,5,
20,11.062063067948985,success,4,
21,10.808976562419469,success,4,
22,10.200124733454325,success,4,
23,11.0653172337095,success,4,
24,10.804963816041184,success,5,
25,9.102904383466154,success,5,
26,11.288796784329616,success,5,
27,9.037964741168565,success,5,
28,9.142426836753552,success,5,
29,10.219405452103123,success,4,
30,10.075678207186362,success,5,
31,11.217999363843994,success,5,
32,9.63542337164272,success,4,
33,10.428434765206363,success,5,
34,11.723504581396504,success,5,
35,9.604043137376639,success,4,
36,9.022973531759058,success,5,
37,11.304649396949305,success,5,
38,10.965114327504635,success,5,
39,10.39263191229116,success,5,
40,10.53669671091743,success,5,
41,9.946911024226814,success,4,
42,8.613624046192383,success,5,
43,11.696943201772203,success,5,
44,10.649755823027656,success,4,
45,10.385781644558318,success,4,
46,10.209069919978822,success,5,
47,9.723637089750751,success,4,
48,8.49895393108074,success,5,
49,9.96911889297907,success,5,
50,9.251549200795042,success,5,
51,9.668764864168015,success,5,
52,9.52926827413116,success,5,
53,10.816490420850366,success,5,
54,10.070800505725018,success,5,
55,10.088148688175199,success,4,
56,10.940004255751932,success,4,
57,11.183453056046345,success,5,
58,9.7356272035824,success,5,
59,8.537804953924917,success,5,
60,11.017391901494713,success,5,
61,10.164866547439324,success,5,
62,11.239930574702376,success,5,
63,9.183224786853653,success,4,
64,11.14328541873217,success,5,
65,9.553419199794678,success,5,
66,10.187300975738063,success,4,
67,8.786218660414463,success,5,
68,9.340148500828928,success,5,
69,10.296918791180772,success,5,
70,9.528752741887091,success,5,
71,11.36148593107346,success,5,
72,9.718628189524246,success,5,
73,11.020147051799052,success,4,
74,10.2583852924832,success,4,
75,8.412529995818238,success,5,
76,10.944658954761374,success,4,
77,10.030787309291624,success,5,
78,10.39256433091821,success,4,
79,11.118983946962864,success,5,
80,9.02388420356739,success,5,
81,10.684773842851978,success,4,
82,10.244863818097922,success,4,
83,10.712725854941539,success,5,
84,9.801027020969691,success,4,
85,9.075183759709722,success,5,
86,11.286342023622561,success,4,
87,10.168511551518879,success,4,
88,9.272701029858831,success,4,
89,9.67823712414965,success,4,
90,11.121577453828376,success,4,
91,8.930382119624458,success,4,
92,9.833885346775881,success,5,
93,11.070797153663875,success,5,
94,10.66916808300912,success,4,
95,11.243486327217882,success,4,
96,8.744409940639487,success,5,
97,9.32439798150987,success,5,
98,10.903802946940239,success,5,
99,10.567459168829622,success,5,
100,8.47341492903227,success,5,
101,11.70933256893839,success,5,
102,10.17397652944128,success,5,
103,10.591094648924152,success,5,
104,10.218571533721635,success,4,
105,10.130894384959388,success,5,
106,10.161566216627339,success,4,
107,10.133404801194539,success,5,
108,11.110601705776974,success,5,
109,9.368887433277756,success,4,
110,9.878644409628935,success,4,
111,10.836267673555854,success,5,
112,11.36753226757792,success,4,
113,9.96475287872759,success,4,
114,11.116503774457438,success,4,
115,10.836344792014296,success,5,
116,9.061306748304931,success,5,
117,10.339824503206241,success,5,
118,11.232349663906959,success,5,
119,9.430800918927838,success,5,
120,10.582927296019163,success,5,
121,11.59042090997556,success,5,
122,9.203021083100708,success,5,
123,10.28138889635359,success,5,
124,8.266576350652324,success,5,
125,10.66402160035708,success,4,
126,8.09426190388276,success,5,
127,9.594402173012485,success,4,
128,11.035390449959362,success,5,
129,9.951111659488141,success,5,
130,9.803554645798506,success,4,
131,11.155571513566226,success,4,
132,11.322174857416194,success,4,
133,9.40009461266712,success,4,
134,11.634801084079221,success,5,
135,10.536223352481377,success,5,
136,10.552874958187108,success,4,
137,10.027197138474103,success,5,
138,9.775998373520022,success,4,
139,10.315074207133149,success,4,
140,10.658970399876921,success,5,
141,9.46517154984462,success,4,
142,11.545477256636197,success,5,
143,10.57395714579011,success,4,
144,9.934791873813067,success,5,
145,10.435728966373098,success,4,
146,8.769957247208744,success,5,
147,10.361264715486906,success,5,
148,10.406198071935059,success,4,
149,8.867433468194822,success,5,
150,9.951098086002185,success,5,
151,9.94926580979476,success,5,
152,10.87360592397688,success,4,
153,9.488830470208663,success,4,
154,12.218311085307068,success,5,
155,10.116178147710254,success,4,
156,11.439460758500784,success,5,
157,10.439584140963765,success,4,
158,9.863336327203028,success,5,
159,10.546167968417905,success,5,
160,11.094573597876307,success,4,
161,9.519652366369188,success,5,
162,10.827814172564619,success,5,
163,11.010688267024106,success,5,
164,9.677166698975865,success,4,
165,11.095609880877573,success,5,
166,10.5860737877941,success,5,
167,10.397459832195851,success,4,
168,11.863052862816286,success,5,
169,10.339822012663614,success,5,
170,9.602033570259442,success,4,
171,9.762231415673476,success,4,
172,9.411576967525718,success,5,
173,10.303586662330913,success,4,
174,10.392400159734168,success,4,
175,9.724675762221903,success,4,
176,9.448202164388544,success,4,
177,10.973966802383725,success,4,
178,10.168798947135144,success,4,
179,11.208447254239566,success,4,
180,11.692683547949589,success,4,
181,10.51521875012719,success,4,
182,9.855503910720296,success,4,
183,11.46406318960104,success,5,
184,9.220256878890323,success,5,
185,10.51566362426414,success,5,
186,10.245118772627448,success,4,
187,10.908507492717098,success,4,
188,9.250736330339771,success,4,
189,11.05909301099784,success,5,
190,9.489917533596168,success,5,
