model,term,coefficient,ordinary_SE,cluster_robust_SE
M1,intercept,2.4592814879786045,0.11984433430119619,0.12872747551675595
M1,snr_c,2.5299411597167567,0.11764309122553014,0.1424420765632238
M1,linear_drift_hz,-5.31570116183546,0.2962983878881919,0.28569086290997187
M1,A_res_hz,-8.348673854161833,0.3663061298023292,0.3637204071656915
M1,D_times_A,10.155477928422531,0.9124621453501282,0.8389427157119115
