model,term,coefficient,ordinary_se,ordinary_z,ordinary_p,cluster_robust_se,cluster_robust_z,cluster_robust_p,n_clusters
M0,intercept,2.794000711466172,0.060726313685461164,46.009720365013685,0.0,0.06292290949918103,44.403552437487605,0.0,1600
M0,snr_c,2.416883093804596,0.0525541903688975,45.98839934246138,0.0,0.0607300242710507,39.797169897669484,0.0,1600
M0,abs_linear_drift_hz,-4.038794323543063,0.09282232466017336,-43.51102321913686,0.0,0.09538589525979571,-42.34163041131908,0.0,1600
M0,A_res_hz,-6.57541691399993,0.14906751330737184,-44.11032805277738,0.0,0.16263499013817106,-40.43051810937857,0.0,1600
M1,intercept,3.0223480384957475,0.06499413457382706,46.50185833404169,0.0,0.06681697182552782,45.23323874041598,0.0,1600
M1,snr_c,2.4639802729951543,0.05338655725648525,46.15357122875416,0.0,0.06070723885369759,40.587915370904355,0.0,1600
M1,abs_linear_drift_hz,-4.527605317892325,0.10193670665041976,-44.41584848742689,0.0,0.10245285984261501,-44.19208331370638,0.0,1600
M1,A_res_hz,-8.023269740359375,0.1969687855294525,-40.73371178480291,0.0,0.21034180877720296,-38.143960950995414,0.0,1600
M1,D_times_A,7.639311984508267,0.4988946085327517,15.312476530815742,6.311425164533134e-53,0.5700387504901631,13.401390656230651,5.934072046294789e-41,1600
M2,intercept,2.9052642976459344,0.0656871391087409,44.22881460610506,0.0,0.06390222274684898,45.46421349309313,0.0,1600
M2,snr_c,1.8537342174402147,0.11097835645546694,16.703565241426833,1.2346206906877189e-62,0.10622015770797913,17.45181194831689,3.3348393677317863e-68,1600
M2,abs_linear_drift_hz,-4.468739842837615,0.10284641608124422,-43.450613187216014,0.0,0.10251678155571695,-43.59032516455753,0.0,1600
M2,A_res_hz,-7.78995268838985,0.20021083919285407,-38.90874599894235,0.0,0.20190639281724967,-38.58200119220952,0.0,1600
M2,D_times_A,7.384856010902659,0.5025339277936252,14.695238674383369,6.915439606117907e-49,0.578672499828722,12.761719302521652,2.6821497823790138e-37,1600
M2,snr_c_times_D,1.1268968903282741,0.17143361667230803,6.573371735383238,4.918844766623638e-11,0.17323759829331573,6.50492099538507,7.773422263581458e-11,1600
M2,snr_c_times_A,0.704181797068692,0.28955800686439265,2.431919616709056,0.015019040074244127,0.30601783099654495,2.301113614116958,0.021385210006785477,1600
