source_dataset,snr_db,abs_linear_drift_hz,A_res_hz,decoded_success,seed,trial_index,cluster_id,snr_c,in_primary_support
linear_drift_boundary,-29.5,0.0,0.0,1,2026092649,49,linear_drift_boundary|-29.5|2026092649,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092648,48,linear_drift_boundary|-29.5|2026092648,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092646,46,linear_drift_boundary|-29.5|2026092646,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092650,50,linear_drift_boundary|-29.5|2026092650,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092653,53,linear_drift_boundary|-29.5|2026092653,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092651,51,linear_drift_boundary|-29.5|2026092651,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092655,55,linear_drift_boundary|-29.5|2026092655,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092656,56,linear_drift_boundary|-29.5|2026092656,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092654,54,linear_drift_boundary|-29.5|2026092654,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092658,58,linear_drift_boundary|-29.5|2026092658,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092657,57,linear_drift_boundary|-29.5|2026092657,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092661,61,linear_drift_boundary|-29.5|2026092661,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092660,60,linear_drift_boundary|-29.5|2026092660,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092652,52,linear_drift_boundary|-29.5|2026092652,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092662,62,linear_drift_boundary|-29.5|2026092662,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092663,63,linear_drift_boundary|-29.5|2026092663,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092666,66,linear_drift_boundary|-29.5|2026092666,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092664,64,linear_drift_boundary|-29.5|2026092664,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092668,68,linear_drift_boundary|-29.5|2026092668,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092659,59,linear_drift_boundary|-29.5|2026092659,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092665,65,linear_drift_boundary|-29.5|2026092665,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092670,70,linear_drift_boundary|-29.5|2026092670,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092671,71,linear_drift_boundary|-29.5|2026092671,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092669,69,linear_drift_boundary|-29.5|2026092669,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092672,72,linear_drift_boundary|-29.5|2026092672,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092673,73,linear_drift_boundary|-29.5|2026092673,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092676,76,linear_drift_boundary|-29.5|2026092676,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092674,74,linear_drift_boundary|-29.5|2026092674,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092667,67,linear_drift_boundary|-29.5|2026092667,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092678,78,linear_drift_boundary|-29.5|2026092678,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092679,79,linear_drift_boundary|-29.5|2026092679,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092680,80,linear_drift_boundary|-29.5|2026092680,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092681,81,linear_drift_boundary|-29.5|2026092681,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092682,82,linear_drift_boundary|-29.5|2026092682,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092683,83,linear_drift_boundary|-29.5|2026092683,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092675,75,linear_drift_boundary|-29.5|2026092675,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092684,84,linear_drift_boundary|-29.5|2026092684,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092685,85,linear_drift_boundary|-29.5|2026092685,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092677,77,linear_drift_boundary|-29.5|2026092677,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092687,87,linear_drift_boundary|-29.5|2026092687,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092686,86,linear_drift_boundary|-29.5|2026092686,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092688,88,linear_drift_boundary|-29.5|2026092688,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092689,89,linear_drift_boundary|-29.5|2026092689,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092690,90,linear_drift_boundary|-29.5|2026092690,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092691,91,linear_drift_boundary|-29.5|2026092691,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092695,95,linear_drift_boundary|-29.5|2026092695,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092693,93,linear_drift_boundary|-29.5|2026092693,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092694,94,linear_drift_boundary|-29.5|2026092694,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092696,96,linear_drift_boundary|-29.5|2026092696,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092698,98,linear_drift_boundary|-29.5|2026092698,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092700,100,linear_drift_boundary|-29.5|2026092700,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092692,92,linear_drift_boundary|-29.5|2026092692,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092701,101,linear_drift_boundary|-29.5|2026092701,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092697,97,linear_drift_boundary|-29.5|2026092697,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092703,103,linear_drift_boundary|-29.5|2026092703,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092702,102,linear_drift_boundary|-29.5|2026092702,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092706,106,linear_drift_boundary|-29.5|2026092706,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092699,99,linear_drift_boundary|-29.5|2026092699,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092707,107,linear_drift_boundary|-29.5|2026092707,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092708,108,linear_drift_boundary|-29.5|2026092708,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092710,110,linear_drift_boundary|-29.5|2026092710,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092709,109,linear_drift_boundary|-29.5|2026092709,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092704,104,linear_drift_boundary|-29.5|2026092704,0.75,True
linear_drift_boundary,-29.5,0.0,0.0,1,2026092705,105,linear_drift_boundary|-29.5|2026092705,0.75,True
