snr_db,linear_drift_hz,A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,0.0,0.0,55,2026093055,1,K1ABC FN42 33,-30,0,10.140200,0.06394549800006644
-30.0,0.0,0.0,52,2026093052,1,K1ABC FN42 33,-30,0,10.140200,0.23657230299977527
-30.0,0.0,0.0,53,2026093053,1,K1ABC FN42 33,-29,0,10.140200,0.23421231299926148
-30.0,0.0,0.0,57,2026093057,1,K1ABC FN42 33,-31,0,10.140200,0.09501062100025592
-30.0,0.0,0.0,58,2026093058,1,K1ABC FN42 33,-30,0,10.140200,0.0880663559992172
-30.0,0.0,0.0,60,2026093060,1,K1ABC FN42 33,-30,0,10.140200,0.07253539700013789
-30.0,0.0,0.0,56,2026093056,1,K1ABC FN42 33,-30,0,10.140200,0.28583035199972073
-30.0,0.0,0.0,59,2026093059,1,K1ABC FN42 33,-30,0,10.140200,0.27957719400001224
-30.0,0.0,0.0,62,2026093062,1,K1ABC FN42 33,-30,0,10.140200,0.22917076199973963
-30.0,0.0,0.0,64,2026093064,1,K1ABC FN42 33,-30,0,10.140200,0.25723075199948653
-30.0,0.0,0.0,61,2026093061,0,,,,,0.5154320410001674
-30.0,0.0,0.0,67,2026093067,1,K1ABC FN42 33,-29,0,10.140200,0.08607905900043988
-30.0,0.0,0.0,65,2026093065,1,K1ABC FN42 33,-30,0,10.140200,0.34651074099929247
-30.0,0.0,0.0,63,2026093063,0,,,,,0.5013744719999522
-30.0,0.0,0.0,68,2026093068,1,K1ABC FN42 33,-29,0,10.140200,0.04472315200018784
-30.0,0.0,0.0,69,2026093069,1,K1ABC FN42 33,-30,0,10.140200,0.1676879779997762
-30.0,0.0,0.0,70,2026093070,1,K1ABC FN42 33,-31,0,10.140200,0.2430808449998949
-30.0,0.0,0.0,73,2026093073,1,K1ABC FN42 33,-31,0,10.140200,0.05432942399966123
-30.0,0.0,0.0,71,2026093071,1,K1ABC FN42 33,-30,0,10.140200,0.2954649029998109
-30.0,0.0,0.0,74,2026093074,1,K1ABC FN42 33,-29,0,10.140200,0.08582730999933119
-30.0,0.0,0.0,66,2026093066,0,,,,,0.5353510699997059
-30.0,0.0,0.0,72,2026093072,1,K1ABC FN42 33,-29,0,10.140200,0.2594278460001078
-30.0,0.0,0.0,76,2026093076,1,K1ABC FN42 33,-29,0,10.140200,0.06219204199987871
-30.0,0.0,0.0,77,2026093077,1,K1ABC FN42 33,-30,0,10.140200,0.06259429300007469
-30.0,0.0,0.0,80,2026093080,1,K1ABC FN42 33,-30,0,10.140200,0.06219582199992146
-30.0,0.0,0.0,79,2026093079,1,K1ABC FN42 33,-29,0,10.140200,0.1135576350006886
-30.0,0.0,0.0,81,2026093081,1,K1ABC FN42 33,-30,0,10.140200,0.05442350599969359
-30.0,0.0,0.0,75,2026093075,1,K1ABC FN42 33,-30,0,10.140200,0.26770196199959173
-30.0,0.0,0.0,84,2026093084,1,K1ABC FN42 33,-29,0,10.140200,0.05663123399972392
-30.0,0.0,0.0,78,2026093078,1,K1ABC FN42 33,-29,0,10.140200,0.2814425710002979
-30.0,0.0,0.0,85,2026093085,1,K1ABC FN42 33,-30,0,10.140200,0.052030277000085334
-30.0,0.0,0.0,82,2026093082,1,K1ABC FN42 33,-29,0,10.140200,0.28580197999963275
-30.0,0.0,0.0,83,2026093083,1,K1ABC FN42 33,-30,0,10.140200,0.26421129900063534
-30.0,0.0,0.0,88,2026093088,1,K1ABC FN42 33,-30,0,10.140200,0.07725058899995929
-30.0,0.0,0.0,87,2026093087,1,K1ABC FN42 33,-29,0,10.140200,0.26490178600033687
-30.0,0.0,0.0,86,2026093086,1,K1ABC FN42 33,-31,0,10.140200,0.2696509529996547
-30.0,0.0,0.0,89,2026093089,1,K1ABC FN42 33,-31,0,10.140200,0.14842695799961803
-30.0,0.0,0.0,90,2026093090,1,K1ABC FN42 33,-30,0,10.140200,0.2777713239993318
-30.0,0.0,0.0,91,2026093091,1,K1ABC FN42 33,-31,0,10.140200,0.26492835999943054
-30.0,0.0,0.0,92,2026093092,1,K1ABC FN42 33,-29,0,10.140200,0.26421520300027623
-30.0,0.0,0.0,93,2026093093,1,K1ABC FN42 33,-30,0,10.140200,0.2689190080000117
-30.0,0.0,0.0,95,2026093095,1,K1ABC FN42 33,-29,0,10.140200,0.047159199999441626
-30.0,0.0,0.0,96,2026093096,1,K1ABC FN42 33,-30,0,10.140200,0.07211602100051095
-30.0,0.0,0.0,97,2026093097,1,K1ABC FN42 33,-30,0,10.140200,0.05115012099940941
-30.0,0.0,0.0,98,2026093098,1,K1ABC FN42 33,-31,0,10.140200,0.06649811100032821
-30.0,0.0,0.0,94,2026093094,1,K1ABC FN42 33,-30,0,10.140200,0.2937118219997501
-30.0,0.0,0.0,100,2026093100,1,K1ABC FN42 33,-31,0,10.140200,0.23640864100070758
-30.0,0.0,0.0,99,2026093099,1,K1ABC FN42 33,-31,0,10.140200,0.2749464649996298
-30.0,0.0,0.0,101,2026093101,1,K1ABC FN42 33,-30,0,10.140200,0.25196221500027605
-30.0,0.0,0.0,105,2026093105,1,K1ABC FN42 33,-30,0,10.140200,0.04473995999978797
-30.0,0.0,0.0,102,2026093102,1,K1ABC FN42 33,-30,0,10.140200,0.24662608400012687
-30.0,0.0,0.0,107,2026093107,1,K1ABC FN42 33,-30,0,10.140200,0.05982213000061165
-30.0,0.0,0.0,103,2026093103,1,K1ABC FN42 33,-30,0,10.140200,0.2596354200004498
-30.0,0.0,0.0,108,2026093108,1,K1ABC FN42 33,-30,0,10.140200,0.05215093400056503
-30.0,0.0,0.0,109,2026093109,1,K1ABC FN42 33,-29,0,10.140200,0.04219734900016192
-30.0,0.0,0.0,106,2026093106,1,K1ABC FN42 33,-30,0,10.140200,0.2298594290004985
-30.0,0.0,0.0,110,2026093110,1,K1ABC FN42 33,-30,0,10.140200,0.058687669999926584
-30.0,0.0,0.0,104,2026093104,1,K1ABC FN42 33,-30,0,10.140200,0.33240593200025614
-30.0,0.0,0.0,114,2026093114,1,K1ABC FN42 33,-29,0,10.140200,0.06371440899965819
-30.0,0.0,0.0,112,2026093112,1,K1ABC FN42 33,-30,0,10.140200,0.2292269600002328
-30.0,0.0,0.0,111,2026093111,1,K1ABC FN42 33,-30,0,10.140200,0.30084486700070556
-30.0,0.0,0.0,116,2026093116,1,K1ABC FN42 33,-30,0,10.140200,0.07369255799949315
-30.0,0.0,0.0,113,2026093113,1,K1ABC FN42 33,-30,0,10.140200,0.2781530920001387
-30.0,0.0,0.0,115,2026093115,1,K1ABC FN42 33,-30,0,10.140200,0.23453069900006085
-30.0,0.0,0.0,117,2026093117,1,K1ABC FN42 33,-30,0,10.140200,0.15180987999974604
-30.0,0.0,0.0,118,2026093118,1,K1ABC FN42 33,-30,0,10.140200,0.23526996900000086
-30.0,0.0,0.0,119,2026093119,1,K1ABC FN42 33,-31,0,10.140200,0.2637062739995599
-30.0,0.0,0.0,123,2026093123,1,K1ABC FN42 33,-30,0,10.140200,0.1036271510001825
-30.0,0.0,0.0,122,2026093122,1,K1ABC FN42 33,-30,0,10.140200,0.15264834299978247
-30.0,0.0,0.0,121,2026093121,1,K1ABC FN42 33,-30,0,10.140200,0.29509264300031646
-30.0,0.0,0.0,125,2026093125,1,K1ABC FN42 33,-31,0,10.140200,0.07498160500017548
-30.0,0.0,0.0,126,2026093126,1,K1ABC FN42 33,-30,0,10.140200,0.06290434899983666
-30.0,0.0,0.0,120,2026093120,0,,,,,0.5335599290001483
-30.0,0.0,0.0,128,2026093128,1,K1ABC FN42 33,-29,0,10.140200,0.09929337099947588
-30.0,0.0,0.0,124,2026093124,1,K1ABC FN42 33,-30,0,10.140200,0.25728365200029657
-30.0,0.0,0.0,130,2026093130,1,K1ABC FN42 33,-30,0,10.140200,0.059606982999866887
-30.0,0.0,0.0,132,2026093132,1,K1ABC FN42 33,-29,0,10.140200,0.05917702999977337
-30.0,0.0,0.0,127,2026093127,1,K1ABC FN42 33,-30,0,10.140200,0.24881308000021818
-30.0,0.0,0.0,133,2026093133,1,K1ABC FN42 33,-30,0,10.140200,0.04738960399936332
-30.0,0.0,0.0,131,2026093131,1,K1ABC FN42 33,-31,0,10.140200,0.12713257199993677
-30.0,0.0,0.0,134,2026093134,1,K1ABC FN42 33,-31,0,10.140200,0.05951487000038469
-30.0,0.0,0.0,129,2026093129,1,K1ABC FN42 33,-30,0,10.140200,0.2384360320002088
-30.0,0.0,0.0,136,2026093136,1,K1ABC FN42 33,-30,0,10.140200,0.09966738599996461
-30.0,0.0,0.0,138,2026093138,1,K1ABC FN42 33,-30,0,10.140200,0.09122529399974155
-30.0,0.0,0.0,137,2026093137,1,K1ABC FN42 33,-30,0,10.140200,0.1699001289998705
-30.0,0.0,0.0,140,2026093140,1,K1ABC FN42 33,-29,0,10.140200,0.05946280399984971
-30.0,0.0,0.0,135,2026093135,1,K1ABC FN42 33,-30,0,10.140200,0.2406046639998749
-30.0,0.0,0.0,142,2026093142,1,K1ABC FN42 33,-30,0,10.140200,0.048439459999826795
-30.0,0.0,0.0,139,2026093139,1,K1ABC FN42 33,-31,0,10.140200,0.240135573999396
-30.0,0.0,0.0,141,2026093141,1,K1ABC FN42 33,-32,0,10.140200,0.24143745800029137
-30.0,0.0,0.0,143,2026093143,1,K1ABC FN42 33,-29,0,10.140200,0.24346025700015161
-30.0,0.0,0.0,144,2026093144,1,K1ABC FN42 33,-29,0,10.140200,0.2468572360003236
-30.0,0.0,0.0,147,2026093147,1,K1ABC FN42 33,-30,0,10.140200,0.059518514999581384
-30.0,0.0,0.0,148,2026093148,1,K1ABC FN42 33,-30,0,10.140200,0.04881410500001948
-30.0,0.0,0.0,145,2026093145,1,K1ABC FN42 33,-29,0,10.140200,0.25117053400026634
-30.0,0.0,0.0,149,2026093149,1,K1ABC FN42 33,-30,0,10.140200,0.08400190000065777
-30.0,0.0,0.0,146,2026093146,1,K1ABC FN42 33,-30,0,10.140200,0.2461119730005521
-30.0,0.0,0.0,150,2026093150,1,K1ABC FN42 33,-30,0,10.140200,0.25545047399918985
-30.0,0.0,0.0,151,2026093151,1,K1ABC FN42 33,-30,0,10.140200,0.28259816599984333
