sigma_step_hz,descriptor,mean,std,median,p05,p25,p75,p95
0.005,max_abs_frequency_hz,0.03851973331237395,0.010071732340298916,0.0371718361584186,0.024868074959706585,0.031186092965919416,0.04416195964745924,0.057677136517156447
0.005,frequency_rms_hz,0.01567735804474095,0.004619695740032207,0.015098791599107018,0.009795875373780145,0.012404986327502776,0.01806659335413726,0.02478093784823401
0.005,frequency_peak_to_peak_hz,0.06980128962610202,0.01708137666001924,0.06782448281748413,0.04647884775422884,0.05746444322916361,0.07967369031930616,0.10272759212929088
0.005,max_abs_phase_rad,2.0717859554797817,0.9053648867136076,1.9370101499227945,0.8664557154559674,1.398554512230652,2.6055601298878632,3.87366077100705
0.005,phase_rms_rad,1.148586056598781,0.5889146286258895,1.0278149927187075,0.43133678277737103,0.7232868806859297,1.4372375138308007,2.2969475347174146
0.005,final_phase_rad,-4.198074870388504e-15,2.001576758432075e-13,-2.2079235141581055e-15,-3.308438619635881e-13,-1.0615586101131447e-13,9.944608613150774e-14,3.155247981292963e-13
0.005,phase_peak_to_peak_rad,3.7307346140518467,1.6668847927160397,3.4155520751213935,1.59900397772127,2.530757171779867,4.617450230501274,7.080308362437538
0.005,raw_start_hz,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,raw_end_hz,-0.0014075704511111787,0.06467884954530338,-0.002250869370882066,-0.10416181476097419,-0.04322944126209155,0.04284262329434123,0.10313706866235156
0.005,raw_peak_to_peak_hz,0.0957969240389474,0.03150654978977439,0.09067508826563968,0.05423963164562983,0.07388789391311604,0.1130726156822991,0.15521212966733966
0.005,fitted_constant_hz,-0.0001902210947308971,0.03675514259347562,0.00029863190021211215,-0.06336058436053954,-0.024109591924323513,0.023756572975505024,0.05871273829382471
0.005,fitted_linear_coefficient,-0.0011916272134456678,0.035093257931411444,-0.000692278872299423,-0.0592080467796645,-0.02331114521204598,0.02234465774807801,0.05571310301120802
0.01,max_abs_frequency_hz,0.07796213967314349,0.020623775088325417,0.07467943335480792,0.05045137035906743,0.06283409749467382,0.08920621677679487,0.11632468867989555
0.01,frequency_rms_hz,0.031593858717119894,0.009188509825704778,0.029929293886465543,0.01994738848948248,0.02489096631357282,0.03638857749929086,0.0493243572527433
0.01,frequency_peak_to_peak_hz,0.1407062898192279,0.03408850124895997,0.13577556310537625,0.09477898200575136,0.11591380614387439,0.15983423185625073,0.20194210738532373
0.01,max_abs_phase_rad,4.210905725651342,1.8091721686902198,3.89783092123817,1.9120506564881357,2.8719184109723397,5.149320251007832,7.70042643908597
0.01,phase_rms_rad,2.34738684490413,1.165369417473886,2.092685476768752,0.9369921337104149,1.4990129140957684,2.9300450883797766,4.597858040814316
0.01,final_phase_rad,6.119208960501948e-15,3.9673428936414316e-13,7.583506305558485e-15,-6.38297265520213e-13,-2.0168488732395795e-13,2.1095902734652276e-13,6.840579860369065e-13
0.01,phase_peak_to_peak_rad,7.594261307392783,3.2827374278300616,6.935024930582323,3.4557105828535466,5.199516478017614,9.404747303842061,13.83918084271286
0.01,raw_start_hz,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,raw_end_hz,-0.005752106054523864,0.12326842031219282,-0.007620059733082013,-0.21085631740167712,-0.0881803884796417,0.0730654214692685,0.2050839322672587
