condition,message_a,message_b,both_decode,a_only,b_only,neither,paired_difference
quadratic_residual,W9XYZ EN52 20,JA1QRS PM95 17,27,18,27,28,-0.09
quadratic_residual,W9XYZ EN52 20,F5ABC JN18 40,32,13,20,35,-0.07
quadratic_residual,N0CAL DM79 37,G4AAA IO91 10,37,19,10,34,0.09
quadratic_residual,N0CAL DM79 37,M0BEE JO02 30,36,20,17,27,0.03
quadratic_residual,N0CAL DM79 37,VK2ZZ QF56 23,29,27,17,27,0.1
quadratic_residual,N0CAL DM79 37,JA1QRS PM95 17,31,25,23,21,0.02
quadratic_residual,N0CAL DM79 37,F5ABC JN18 40,39,17,13,31,0.04
quadratic_residual,G4AAA IO91 10,M0BEE JO02 30,32,15,21,32,-0.06
quadratic_residual,G4AAA IO91 10,VK2ZZ QF56 23,30,17,16,37,0.01
quadratic_residual,G4AAA IO91 10,JA1QRS PM95 17,31,16,23,30,-0.07
quadratic_residual,G4AAA IO91 10,F5ABC JN18 40,31,16,21,32,-0.05
quadratic_residual,M0BEE JO02 30,VK2ZZ QF56 23,33,20,13,34,0.07
quadratic_residual,M0BEE JO02 30,JA1QRS PM95 17,29,24,25,22,-0.01
quadratic_residual,M0BEE JO02 30,F5ABC JN18 40,35,18,17,30,0.01
quadratic_residual,VK2ZZ QF56 23,JA1QRS PM95 17,32,14,22,32,-0.08
quadratic_residual,VK2ZZ QF56 23,F5ABC JN18 40,34,12,18,36,-0.06
quadratic_residual,JA1QRS PM95 17,F5ABC JN18 40,30,24,22,24,0.02
