condition,model,log_likelihood,parameters,converged,lr_vs_M0,df,p_chi2,cluster_wald_chi2,cluster_wald_p,message_effect_range,message_effect_sd,across_message_mean,max_abs_deviation_from_mean,within_descriptive_delta_0_10,term_order,coefficients_by_term,ordinary_se_by_term,cluster_se_by_term,ordinary_se_intercept,cluster_se_intercept
awgn,M0_intercept,-553.1945147298661,1,True,,,,,,0.06000000000000005,0.024748737341529183,0.52875,0.03125,1,intercept,[0.11512699116391065],[0.07082786236804936],[0.11842573805073818],0.07082786236804936,0.11842573805073818
awgn,M1_categorical_message,-552.3333195453454,8,True,1.7223903690414772,7,0.9735986862210299,2.339380225255727,0.9386987633852885,0.06000000000000005,0.024748737341529183,0.52875,0.03125,1,intercept;W9XYZ EN52 20_vs_K1ABC FN42 33;N0CAL DM79 37_vs_K1ABC FN42 33;G4AAA IO91 10_vs_K1ABC FN42 33;M0BEE JO02 30_vs_K1ABC FN42 33;VK2ZZ QF56 23_vs_K1ABC FN42 33;JA1QRS PM95 17_vs_K1ABC FN42 33;F5ABC JN18 40_vs_K1ABC FN42 33,"[0.2411620568168899, -0.241162056816987, 1.0869906342677994e-13, -0.201156722199763, -0.20115672220266145, -0.04049136135464306, -0.12101774497480824, -0.20115672220732994]","[0.20145574100634323, 0.283873943123378, 0.2849014411490945, 0.28390213452346336, 0.28390213452345925, 0.2845847079314973, 0.2841283791834207, 0.2839021345234524]","[0.20336342605734786, 0.24281286491282994, 0.2655077138638775, 0.2659853892975002, 0.23980991006942792, 0.2347882754869013, 0.2337490891303663, 0.2596889846175126]",0.20145574100634323,0.20336342605734786
linear_drift,M0_intercept,-554.0276443572371,1,True,,,,,,0.14999999999999997,0.05625198409199193,0.5175000000000001,0.09249999999999992,1,intercept,[0.07002860431069428],[0.07075402824093395],[0.1140730888252403],0.07075402824093395,0.1140730888252403
linear_drift,M1_categorical_message,-549.5709191668385,8,True,8.913450380797258,7,0.2589298558536575,11.501254470977084,0.11819989637794999,0.14999999999999997,0.05625198409199193,0.5175000000000001,0.09249999999999992,1,intercept;W9XYZ EN52 20_vs_K1ABC FN42 33;N0CAL DM79 37_vs_K1ABC FN42 33;G4AAA IO91 10_vs_K1ABC FN42 33;M0BEE JO02 30_vs_K1ABC FN42 33;VK2ZZ QF56 23_vs_K1ABC FN42 33;JA1QRS PM95 17_vs_K1ABC FN42 33;F5ABC JN18 40_vs_K1ABC FN42 33,"[0.4473122180458007, -0.567456529884386, -0.24664152257988584, -0.4873175526564991, -0.56745652988425, -0.40730688342912447, -0.6076548681172519, -0.12453882577626707]","[0.20502309202622787, 0.2866687784481762, 0.28712106970414203, 0.2864445402980371, 0.28666877844817545, 0.28644454029804517, 0.28686602660002136, 0.2882453319377544]","[0.20696455810620118, 0.2623953600858603, 0.23400579702692456, 0.25033175611341163, 0.24193789208548455, 0.2518336235919769, 0.2517380457904684, 0.2615700129994194]",0.20502309202622787,0.20696455810620118
quadratic_residual,M0_intercept,-554.5152444453519,1,True,,,,,,0.11000000000000004,0.04120939559996346,0.50125,0.05875000000000008,1,intercept,[0.0050000104167056345],[0.07071089909055966],[0.12049950620653906],0.07071089909055966,0.12049950620653906
quadratic_residual,M1_categorical_message,-552.1342263066161,8,True,4.762036277471452,7,0.6889766287931741,7.089430495409798,0.4196282259782322,0.11000000000000004,0.04120939559996346,0.50125,0.05875000000000008,1,intercept;W9XYZ EN52 20_vs_K1ABC FN42 33;N0CAL DM79 37_vs_K1ABC FN42 33;G4AAA IO91 10_vs_K1ABC FN42 33;M0BEE JO02 30_vs_K1ABC FN42 33;VK2ZZ QF56 23_vs_K1ABC FN42 33;JA1QRS PM95 17_vs_K1ABC FN42 33;F5ABC JN18 40_vs_K1ABC FN42 33,"[-0.08004270755720601, -0.1206279875065288, 0.32120476437982004, -0.04010160412643031, 0.200187019362363, -0.0802999423415274, 0.24038535754036253, 0.16008541535755383]","[0.20016019225589782, 0.28366907298179084, 0.283986827420501, 0.2832112689080698, 0.2832112689085866, 0.2834109234250698, 0.2834109234255495, 0.283069258536182]","[0.20205560910811868, 0.22580461403552565, 0.2488020721680171, 0.2253693413254395, 0.209385180391939, 0.20656058712941444, 0.26160767176424476, 0.24878499572517224]",0.20016019225589782,0.20205560910811868
