model,term,coefficient,ordinary_SE,cluster_robust_SE,cluster_robust_z,cluster_robust_p
M_amp,intercept,3.4663484925409773,0.1507508292390473,0.15683979665064904,22.10120496561249,3.0774435346389238e-108
M_amp,snr_c,2.2791512296891625,0.12029250669643528,0.1783180665925468,12.78138145641169,2.0833584620578545e-37
M_amp,max_abs_frequency_hz,-9.40509491472077,0.38736147111294816,0.38501188684336807,-24.428063745852565,8.609706903145611e-132
M_rms,intercept,3.549118214588828,0.1534073932323366,0.1618412634233856,21.9296249888024,1.3553981796466782e-106
M_rms,snr_c,2.339019599058981,0.12257878186859678,0.18355698708813775,12.742743472553645,3.4214795788503264e-37
M_rms,max_abs_frequency_hz,-1.6517381385832401,0.9868150767637787,0.9190544971257428,-1.7972145762290452,0.0723015613700869
M_rms,frequency_rms_hz,-19.640807717673542,2.3713324502906143,2.2404482085669635,-8.7664636221322,1.843656422665882e-18
M_phase,intercept,3.5503423330140955,0.15345295789517915,0.1618561080725654,21.935176715248588,1.1997107589395263e-106
M_phase,snr_c,2.340626982906743,0.12264538700360238,0.1836660843892961,12.743925971359973,3.3699989084442977e-37
M_phase,max_abs_frequency_hz,0.4256781853973518,1.2087012085512188,1.1246123494328264,0.3785110359245417,0.7050509970720236
M_phase,max_abs_phase_rad,-0.16157049928541037,0.019290327850490452,0.018166017621065105,-8.894106713738683,5.889108462169479e-19
M_full,intercept,3.551684617152642,0.15352763076626866,0.16179256838329145,21.95208749476425,8.2714860453346e-107
M_full,snr_c,2.3446412081199606,0.12282374991534999,0.1838511790162434,12.752929954900152,3.002447948097478e-37
M_full,max_abs_frequency_hz,9.27115057926509,5.358584264719265,4.504114880327469,2.0583734708363024,0.03955429635067185
M_full,frequency_rms_hz,88.27379330027506,52.12019749396327,43.813863473870306,2.0147457060690335,0.04393130051457619
M_full,max_abs_phase_rad,-0.8796640750737685,0.4245077483487986,0.3558919502815067,-2.471716694850681,0.01344660303327662
