snr_db,signed_A_res_hz,abs_A_res_hz,trial_index,seed,decoded_success,decoded_message,reported_snr,reported_drift,reported_frequency,runtime_seconds
-30.0,0.25,0.25,62,2026100262,1,K1ABC FN42 33,-30,0,10.140200,0.2539599179999641
-30.0,0.25,0.25,65,2026100265,1,K1ABC FN42 33,-30,0,10.140200,0.15925993000018934
-30.0,0.25,0.25,64,2026100264,1,K1ABC FN42 33,-30,0,10.140200,0.1662346749999415
-30.0,0.25,0.25,59,2026100259,0,,,,,0.5001622660001885
-30.0,0.25,0.25,66,2026100266,1,K1ABC FN42 33,-29,0,10.140200,0.048798433000229124
-30.0,0.25,0.25,68,2026100268,1,K1ABC FN42 33,-29,0,10.140200,0.06319552399963868
-30.0,0.25,0.25,63,2026100263,0,,,,,0.5077930750003361
-30.0,0.25,0.25,69,2026100269,1,K1ABC FN42 33,-30,0,10.140200,0.23040682999999262
-30.0,0.25,0.25,70,2026100270,1,K1ABC FN42 33,-30,0,10.140200,0.21648733199981507
-30.0,0.25,0.25,67,2026100267,0,,,,,0.4881228539998119
-30.0,0.25,0.25,72,2026100272,1,K1ABC FN42 33,-29,0,10.140200,0.232471952999731
-30.0,0.25,0.25,74,2026100274,1,K1ABC FN42 33,-30,0,10.140200,0.050135819999923115
-30.0,0.25,0.25,73,2026100273,1,K1ABC FN42 33,-30,0,10.140200,0.25098033900030714
-30.0,0.25,0.25,77,2026100277,1,K1ABC FN42 33,-29,0,10.140200,0.0440860189992236
-30.0,0.25,0.25,76,2026100276,1,K1ABC FN42 33,-30,0,10.140200,0.07466693100013799
-30.0,0.25,0.25,71,2026100271,0,,,,,0.49846943499960616
-30.0,0.25,0.25,75,2026100275,1,K1ABC FN42 33,-30,0,10.140200,0.1450992390000465
-30.0,0.25,0.25,80,2026100280,1,K1ABC FN42 33,-29,0,10.140200,0.04762916799973027
-30.0,0.25,0.25,81,2026100281,1,K1ABC FN42 33,-30,0,10.140200,0.2445457229996464
-30.0,0.25,0.25,82,2026100282,1,K1ABC FN42 33,-30,0,10.140200,0.231962470000326
-30.0,0.25,0.25,78,2026100278,1,K1ABC FN42 33,-30,0,10.140200,0.3375707790000888
-30.0,0.25,0.25,83,2026100283,1,K1ABC FN42 33,-30,0,10.140200,0.06102095599999302
-30.0,0.25,0.25,86,2026100286,1,K1ABC FN42 33,-30,0,10.140200,0.06111591200078692
-30.0,0.25,0.25,85,2026100285,1,K1ABC FN42 33,-30,0,10.140200,0.1563613409998652
-30.0,0.25,0.25,79,2026100279,0,,,,,0.508699171000444
-30.0,0.25,0.25,89,2026100289,1,K1ABC FN42 33,-31,0,10.140200,0.057280713000182004
-30.0,0.25,0.25,84,2026100284,1,K1ABC FN42 33,-29,0,10.140200,0.2757379320000837
-30.0,0.25,0.25,90,2026100290,1,K1ABC FN42 33,-30,0,10.140200,0.06631991900030698
-30.0,0.25,0.25,87,2026100287,1,K1ABC FN42 33,-30,0,10.140200,0.261826760999611
-30.0,0.25,0.25,88,2026100288,1,K1ABC FN42 33,-30,0,10.140200,0.2343523660001665
-30.0,0.25,0.25,93,2026100293,1,K1ABC FN42 33,-29,0,10.140200,0.07205563700063067
-30.0,0.25,0.25,95,2026100295,1,K1ABC FN42 33,-29,0,10.140200,0.07534541800032457
