snr_db_2500hz,n,successes,p_decode,ci_low,ci_high,reported_snr_count,mean_reported_minus_injected_db,median_reported_minus_injected_db,mean_runtime_seconds
-20.0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,0.0,0.0,0.08402769739996074
-24.0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,0.0,0.0,0.054820931599988396
-26.0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,0.0,0.0,0.05511341810001795
-28.0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,0.2,0.0,0.055073749899975155
-30.0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,0.3,0.5,0.1836381647999815
-32.0,10,2,0.2,0.05668215145437519,0.5098375284633583,2,-0.5,-0.5,0.4629175547999921
-34.0,10,0,0.0,0.0,0.2775327998628892,0,,,0.12547859030000835
