snr_db_2500hz,n,successes,p_decode,ci_low,ci_high,reported_snr_count,mean_reported_minus_injected_db,median_reported_minus_injected_db,mean_runtime_seconds
-20.0,1,1,1.0,0.20654931437723745,1.0,1,0.0,0.0,0.06477070500000082
-35.0,1,0,0.0,0.0,0.7934506856227626,0,,,0.483680220999986
