snr_db,0,0.125,0.25,0.375,0.5,0.75,1
-29.5,1.0,1.0,0.97,0.86,0.59,0.3,0.08
-30.0,0.98,0.95,0.83,0.6,0.41,0.08,0.0
-30.5,0.87,0.81,0.71,0.28,0.1,0.02,0.0
-31.0,0.82,0.68,0.39,0.13,0.08,0.0,0.0
