noise_type,f_carrier_hz,sigma_y_ref,n,descriptor,mean,std,median,p05,p25,p75,p95
white_FM,7000000.0,1e-10,500,frequency_rms_hz,0.0006980070210788911,5.007519001578749e-05,0.0006952265103270509,0.0006200321564055739,0.0006639793912595257,0.0007306358971086704,0.0007809049871270784
white_FM,7000000.0,1e-10,500,max_abs_frequency_hz,0.001946185034656156,0.00027152292783639767,0.0019177439617332828,0.0015559611823570483,0.0017476433591465759,0.0021023579248798142,0.002453386257447854
white_FM,7000000.0,1e-10,500,peak_to_peak_hz,0.0035667154289741707,0.00042038751429524884,0.0035345881238331347,0.002946239825985414,0.003268823126362137,0.0038323432160581234,0.004347698970126293
white_FM,7000000.0,1e-10,500,residual_frequency_rms_hz,0.0006904644964872938,4.967924907696539e-05,0.0006862226013739164,0.0006149201007594918,0.0006577502098784561,0.0007229923321333195,0.0007767786877453046
white_FM,7000000.0,1e-10,500,residual_max_abs_frequency_hz,0.0019283652452772068,0.000279260705595908,0.0018924094958334705,0.0015499467035157363,0.0017236620240414868,0.0020906850700385107,0.002427432526336344
white_FM,7000000.0,1e-10,500,residual_peak_to_peak_hz,0.0035502251098022794,0.0004223953508108434,0.0035204944861497965,0.0029335618675272236,0.0032426029577369434,0.003813129034737693,0.004313053506216733
white_FM,7000000.0,1e-10,500,max_abs_phase_rad,0.02814994521734531,0.0069041528900522925,0.027473884646289814,0.01809417225824237,0.023354099828285742,0.03224320419712575,0.04068452723209136
white_FM,7000000.0,1e-10,500,phase_rms_rad,0.011801224323895238,0.003548356493944749,0.011300826073542616,0.007043317102143469,0.009398065539179648,0.013591958095728584,0.018459993842342287
white_FM,7000000.0,1e-10,500,fitted_constant_hz,-2.7557954980705387e-06,7.625073014673094e-05,-1.332877565461958e-06,-0.00012683138492306518,-5.290236865079277e-05,4.594781999232639e-05,0.0001184609909567483
white_FM,7000000.0,1e-10,500,fitted_linear_coefficient,-4.428547668145704e-06,0.00011876071250044193,-1.9744872060715974e-06,-0.00020678197000223772,-8.639578840789359e-05,8.742592431808989e-05,0.00017614290305014265
white_FM,7000000.0,3e-10,500,frequency_rms_hz,0.0020940210632366734,0.00015022557004736248,0.0020856795309811523,0.0018600964692167218,0.001991938173778577,0.0021919076913260115,0.0023427149613812356
white_FM,7000000.0,3e-10,500,max_abs_frequency_hz,0.005838555103968468,0.0008145687835091931,0.0057532318851998485,0.004667883547071145,0.005242930077439727,0.006307073774639443,0.007360158772343563
white_FM,7000000.0,3e-10,500,peak_to_peak_hz,0.010700146286922514,0.0012611625428857467,0.010603764371499402,0.008838719477956242,0.00980646937908641,0.01149702964817437,0.01304309691037888
white_FM,7000000.0,3e-10,500,residual_frequency_rms_hz,0.002071393489461881,0.0001490377472308962,0.0020586678041217494,0.0018447603022784757,0.0019732506296353683,0.0021689769963999586,0.002330336063235914
white_FM,7000000.0,3e-10,500,residual_max_abs_frequency_hz,0.005785095735831621,0.0008377821167877242,0.005677228487500411,0.00464984011054721,0.005170986072124462,0.006272055210115533,0.0072822975790090335
white_FM,7000000.0,3e-10,500,residual_peak_to_peak_hz,0.010650675329406837,0.0012671860524325303,0.010561483458449391,0.00880068560258167,0.009727808873210831,0.01143938710421308,0.012939160518650203
white_FM,7000000.0,3e-10,500,max_abs_phase_rad,0.08444983565203594,0.02071245867015688,0.08242165393886942,0.05428251677472707,0.0700622994848572,0.09672961259137725,0.12205358169627421
white_FM,7000000.0,3e-10,500,phase_rms_rad,0.035403672971685715,0.010645069481834248,0.03390247822062785,0.021129951306430403,0.028194196617538934,0.04077587428718575,0.05537998152702686
white_FM,7000000.0,3e-10,500,fitted_constant_hz,-8.267386494211615e-06,0.00022875219044019284,-3.998632696385913e-06,-0.00038049415476919577,-0.00015870710595237834,0.00013784345997697916,0.0003553829728702451
white_FM,7000000.0,3e-10,500,fitted_linear_coefficient,-1.3285643004437107e-05,0.0003562821375013258,-5.923461618214881e-06,-0.0006203459100067133,-0.00025918736522368086,0.0002622777729542697,0.0005284287091504278
white_FM,7000000.0,1e-09,500,frequency_rms_hz,0.006980070210788911,0.000500751900157875,0.006952265103270509,0.006200321564055739,0.006639793912595258,0.007306358971086705,0.007809049871270786
white_FM,7000000.0,1e-09,500,max_abs_frequency_hz,0.019461850346561563,0.002715229278363977,0.019177439617332828,0.015559611823570485,0.01747643359146576,0.021023579248798142,0.02453386257447854
white_FM,7000000.0,1e-09,500,peak_to_peak_hz,0.03566715428974171,0.004203875142952489,0.03534588123833135,0.029462398259854146,0.03268823126362137,0.03832343216058123,0.04347698970126294
