trajectory_family,snr_db,row_type,bin_index,n_rows,mean_predicted_probability,observed_decode_rate,calibration_intercept,calibration_slope,calibration_fit_status
thermal_tau120,-30.0,bin,1.0,100,0.47201968375038805,0.46,,,
thermal_tau120,-30.0,bin,2.0,100,0.8765780256535726,0.94,,,
thermal_tau120,-30.5,summary,,200,0.46527486134618246,0.45,-0.0721922416614612,1.367080843122641,fitted
thermal_tau120,-30.5,bin,1.0,100,0.22863617414423767,0.15,,,
thermal_tau120,-30.5,bin,2.0,100,0.7019135485481275,0.75,,,
thermal_tau120,-31.0,summary,,200,0.26395098527382765,0.27,0.2390779429769507,1.289047423651189,fitted
thermal_tau120,-31.0,bin,1.0,100,0.08947859090345442,0.06,,,
thermal_tau120,-31.0,bin,2.0,100,0.43842337964420075,0.48,,,
random_walk,,summary,,2400,0.6387409364119275,0.6104166666666667,-0.09611871917180843,0.8154631443714592,fitted
random_walk,,bin,1.0,480,0.08455385799858466,0.09375,,,
random_walk,,bin,2.0,480,0.47329334308634047,0.46458333333333335,,,
random_walk,,bin,3.0,480,0.7716462311066539,0.73125,,,
random_walk,,bin,4.0,480,0.8975303145539532,0.8291666666666667,,,
random_walk,,bin,5.0,480,0.9666809353141054,0.9333333333333333,,,
random_walk,-30.0,summary,,800,0.7727699701252254,0.76,0.12592792006452658,0.7465937319693483,fitted
random_walk,-30.0,bin,1.0,160,0.22913870693653413,0.2875,,,
random_walk,-30.0,bin,2.0,160,0.7548991745298406,0.725,,,
random_walk,-30.0,bin,3.0,160,0.9286696592196886,0.8875,,,
random_walk,-30.0,bin,4.0,160,0.9692206543028057,0.95625,,,
random_walk,-30.0,bin,5.0,160,0.9819216556372578,0.94375,,,
random_walk,-30.5,summary,,800,0.6522674908145717,0.6325,0.04950039678485906,0.7321172533705194,fitted
random_walk,-30.5,bin,1.0,160,0.0950070200313167,0.125,,,
random_walk,-30.5,bin,2.0,160,0.5103255326180597,0.53125,,,
random_walk,-30.5,bin,3.0,160,0.8040140310040759,0.7875,,,
random_walk,-30.5,bin,4.0,160,0.907742488214765,0.81875,,,
random_walk,-30.5,bin,5.0,160,0.9442483822046409,0.9,,,
random_walk,-31.0,summary,,800,0.49118534829598554,0.43875,-0.3229940986854212,0.976824683754144,fitted
random_walk,-31.0,bin,1.0,160,0.03329533370921263,0.00625,,,
random_walk,-31.0,bin,2.0,160,0.26007249984380054,0.2125,,,
random_walk,-31.0,bin,3.0,160,0.5663663124777022,0.5125,,,
random_walk,-31.0,bin,4.0,160,0.7552633793108107,0.70625,,,
random_walk,-31.0,bin,5.0,160,0.8409292161384012,0.75625,,,
