model,diagnostic_only,n_rows,n_parameters,log_likelihood,AIC,BIC,Brier_score
M_RMS,False,5400,3,-2585.930946087116,5177.861892174232,5197.644354871889,0.1565754471983541
M_RMS_family,True,5400,8,-2581.0866136261147,5178.1732272522295,5230.926461112648,0.15622573477000715
