impairment_type,snr_db,value_hz,n,successes,p_decode,ci_low,ci_high,mean_runtime_seconds
linear,-31.0,-2.0,200,9,0.045,0.023852543001492997,0.0832967040018196,0.11945280893498421
linear,-31.0,0.0,200,143,0.715,0.6488465397039482,0.7730499699538271,0.31602316625498134
linear,-31.0,2.0,200,8,0.04,0.020405632066152306,0.07693206820093293,0.1194479035850054
