impairment_type,snr_db,value_hz,n,successes,p_decode,ci_low,ci_high,mean_runtime_seconds
cfo,-29.0,-100.0,100,100,1.0,0.9630065017930143,1.0,0.07176770307002243
cfo,-29.0,0.0,100,100,1.0,0.9630065017930143,1.0,0.06590006004998031
cfo,-29.0,100.0,100,99,0.99,0.9455138038212946,0.9982325679358593,0.06755425039998045
cfo,-31.0,-100.0,100,68,0.68,0.5833738138954762,0.7633085267500092,0.3552185727799679
cfo,-31.0,0.0,100,77,0.77,0.6784561697712622,0.8415673411969654,0.3023261872500052
cfo,-31.0,100.0,100,71,0.71,0.6146110882442888,0.7898516425087772,0.3232009067499712
cfo,-32.0,-100.0,100,18,0.18,0.1170022549894635,0.2666735838630073,0.34038084819000686
cfo,-32.0,0.0,100,18,0.18,0.1170022549894635,0.2666735838630073,0.3755291448099842
cfo,-32.0,100.0,100,27,0.27,0.1926958414957634,0.36432116767944994,0.33780833728998916
