impairment_type,snr_db,value_hz,n,successes,p_decode,ci_low,ci_high,mean_runtime_seconds
linear,-31.0,0.0,5,3,0.6,0.2307242812760128,0.882379225767352,0.3245964607998758
linear,-31.0,2.0,5,1,0.2,0.03622410863243014,0.6244653702374747,0.12447847120020014
