experiment,trial_id,seed,message,snr_db,impairment_type,cfo_hz,linear_drift_parameter,quadratic_parameter,A_res_hz,decoded_success,decoded_message,reported_snr,reported_frequency,reported_drift,decoder_exit_status,runtime_seconds,wsprd_version,decoder_stdout,decoder_stderr
frequency_cfo,2000000,2026292500,K1ABC FN42 33,-29.0,cfo,100.0,,,,1,K1ABC FN42 33,-30,10.140300,0,0,0.1087874129998454,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -30  0.0  10.140300  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,1000000,2026192500,K1ABC FN42 33,-29.0,cfo,0.0,,,,1,K1ABC FN42 33,-29,10.140200,0,0,0.10808116099997278,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29 -0.1  10.140200  0  K1ABC FN42 33 
<DecodeFinished>",
frequency_cfo,0,2026092500,K1ABC FN42 33,-29.0,cfo,-100.0,,,,1,K1ABC FN42 33,-29,10.140100,0,0,0.224856176999765,official WSJT-X 3.0.2; binary SHA256 9e3c2fc14f63c4b4c4e9fcc33b386cd22daf8fe76ce724c5e37f07875e9a3dd9,"0000 -29  0.0  10.140100  0  K1ABC FN42 33 
<DecodeFinished>",
