impairment_type,snr_db,value_hz,n,successes,p_decode,ci_low,ci_high,mean_runtime_seconds
linear,-31.0,-2.0,200,8,0.04,0.020405632066152306,0.07693206820093293,0.12055079702998682
linear,-31.0,0.0,200,142,0.71,0.6436252189922268,0.7684597439293211,0.31745173390000675
linear,-31.0,2.0,200,7,0.035,0.017055542008567192,0.07047061152229073,0.11869850219499767
