impairment_type,snr_db,value_hz,n,successes,p_decode,ci_low,ci_high,mean_runtime_seconds
linear,-29.0,-2.0,200,162,0.81,0.7499876129240015,0.8583282847220932,0.09065786194000566
linear,-29.0,0.0,200,200,1.0,0.9811546736227335,1.0,0.07319366950000812
linear,-29.0,2.0,200,170,0.85,0.7939442071583334,0.89286406437758,0.07722254005998366
linear,-31.0,-2.0,200,3,0.015,0.00511423779325831,0.04316572879269026,0.11688482568499695
linear,-31.0,0.0,200,135,0.675,0.6073198511602996,0.7360842846076571,0.35080743565502187
linear,-31.0,2.0,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.12788741052499064
linear,-32.0,-2.0,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.0767635152549724
linear,-32.0,0.0,200,50,0.25,0.19508168006817497,0.31434098312045833,0.3515808442599882
linear,-32.0,2.0,200,0,0.0,1.734723475976807e-18,0.018845326377266575,0.08811466053000004
