trajectory_family,training_rows,test_rows,brier_amp,log_loss_amp,calibration_intercept_amp,calibration_slope_amp,brier_phase,log_loss_phase,calibration_intercept_phase,calibration_slope_phase,brier_rms,log_loss_rms,calibration_intercept_rms,calibration_slope_rms
quadratic_positive,2400,600,0.15805329961707476,0.4815941816810342,-0.4202899394929406,1.2551587943827964,0.15160079549470984,0.4632344788577805,0.06637645375196437,1.137542681405411,0.1516176027124299,0.463214529758798,0.0803181377865464,1.1353185454313326
quadratic_negative,2400,600,0.17238903278102058,0.5176765823207766,-0.2910890487556555,0.9963737170916356,0.16942063913070132,0.5121542525116641,0.14071627875893725,0.8935478677189093,0.16957719486945824,0.512674935191134,0.15543152205154004,0.8911130525945109
thermal_tau30,2400,600,0.21572270537003901,0.6345089092507388,0.6539528971344288,0.6717469099410692,0.19519302436229313,0.5752559418529394,0.30491157228748755,0.7427576723676325,0.1964586202485239,0.5787688719132064,0.33963997992512573,0.7358555610443799
thermal_tau60,2400,600,0.16596659663000882,0.5026335177572068,0.004335403438229454,1.063484159957631,0.16700273150678474,0.5050900897714045,-0.20217464800298657,1.075280795792713,0.16745049494889389,0.5061807421803818,-0.2353968787495013,1.0822815457194048
thermal_tau120,2400,600,0.1562138322699102,0.4775350190513213,-0.12781426118508682,1.2405227330141257,0.1552095587523631,0.47424135931136163,0.008461012468438354,1.175263425973769,0.15526327578931945,0.47444658178243687,-0.016148809886975802,1.181287956925061
