replicate,mean_brier_amp_minus_phase
1,0.005236038676786991
2,0.007686538524838265
3,0.006075384819530286
4,0.005631220030775694
5,0.007485831154522698
6,0.008124891653431502
7,0.007041022571912687
8,0.007066684577580096
9,0.00566676656577863
10,0.0062760180958624885
11,0.005968473510561869
12,0.006992883077878711
13,0.007624083249388432
14,0.0029461711401187595
15,0.005867656738125051
16,0.007341650349666313
17,0.0056974469734841805
18,0.005201891479119964
19,0.004939769373126222
20,0.006372402663907762
21,0.00610249448470141
22,0.007030842108134736
23,0.005466601195888958
24,0.003590906698344578
25,0.007055058125643849
26,0.008526617617406283
27,0.005819044097512303
28,0.006904230703141173
29,0.0063781367096032845
30,0.006811248700752133
31,0.007565736892848711
32,0.005234940971877133
33,0.005134990454949753
34,0.005669031687031924
35,0.00656151116679537
36,0.004909073173577846
37,0.00530831463621379
38,0.005441556601275177
39,0.006831399549008813
40,0.00782531180581425
41,0.005364315150457112
42,0.006872071006156275
43,0.008338909195070639
44,0.007477110110503818
45,0.004935111893037684
46,0.006934136236926758
47,0.005604308326189243
48,0.004996186032285762
49,0.006175988635997676
50,0.004861272909901475
51,0.004036019794528475
52,0.005268937355312154
53,0.006311513674338957
54,0.0047934563945812745
55,0.005425647698742882
56,0.005312299976790592
57,0.006544094625443918
58,0.007549086373743006
59,0.0050051089498150386
60,0.00536182668293547
61,0.005171289962201126
62,0.0053990141331417794
63,0.0035318272226853137
64,0.005476238983835779
65,0.006177201708527958
66,0.006364567794118765
67,0.005652885521318168
68,0.006423477161513541
69,0.007177597847680926
70,0.003076830736223125
71,0.006461503847416198
72,0.004105148640611653
73,0.004825734683674076
74,0.005755381654132637
75,0.00621606911353006
76,0.006363027681868414
77,0.0067735531849699255
78,0.004606680538031603
79,0.0057128111442453725
80,0.005956679163728248
81,0.003744626104143955
82,0.005098860202662171
83,0.007038863314352752
84,0.007064397241528115
85,0.005416445614217888
86,0.005332580205389698
87,0.005087598324944527
88,0.00586344312131763
89,0.006868384843751684
90,0.005727471692424341
91,0.005855795858594065
92,0.0026079004658579414
93,0.00602542516436807
94,0.006717901700242258
95,0.00470070597794046
96,0.008349218543532773
97,0.004509973817868177
98,0.005063561122747205
99,0.003048002219431571
100,0.006330329028419603
101,0.006457021304030821
102,0.006144451504413817
103,0.006488357854919252
104,0.005567853124831833
105,0.003927861009198386
106,0.005489735724497141
107,0.005819307068856335
108,0.0035029436429912294
109,0.00540682731748566
110,0.0032080780477616185
111,0.003620617920434624
112,0.0074601730523832545
113,0.006950648891345007
114,0.006927810688838709
115,0.005511065319801439
116,0.006087342830699422
117,0.0062419260690066295
118,0.007222973220925179
119,0.006739608733840368
120,0.006174498937998526
121,0.008161762338667349
122,0.003513686588361738
123,0.006422622340184946
124,0.004256625433439771
125,0.005863903669516592
126,0.007238634423029307
127,0.0029844827134628163
128,0.0061627711073030545
129,0.00556704522176211
130,0.005971691973074857
131,0.008703871100583639
132,0.006635398452617506
133,0.00490211775139773
134,0.006486170157132332
135,0.005026262759035208
136,0.002985009417292254
137,0.007267252600309026
138,0.005494289113696265
139,0.006300834039537196
140,0.005911298295473092
141,0.005359246693308319
142,0.007370511991199898
143,0.004833797232391281
144,0.006112500824912035
145,0.006913966356310002
146,0.004878078494495891
147,0.005332971291394858
148,0.005073280329748344
149,0.0065351973226829025
150,0.008021637439543905
151,0.006474005482951813
152,0.003936742864615316
153,0.0066588351060297155
154,0.006142977947872321
155,0.00560547510352876
156,0.005043186467515499
157,0.005284541488136794
158,0.007022881428555496
159,0.004849016984372656
160,0.006545833250190607
161,0.006367758539071612
162,0.007965247203046606
163,0.006104490283225938
164,0.005412644389063568
165,0.0059355818430147905
166,0.0036731225304541242
167,0.007215771442527656
168,0.005979174968500727
169,0.005310471997832525
170,0.005771438986718057
171,0.005727393506140902
172,0.005527048107901012
173,0.006716194189899959
174,0.006194125603877294
175,0.004964574585283546
176,0.0062146562180158465
177,0.005443750652112378
178,0.007467256979552648
179,0.005388864931037189
180,0.009133827194279152
181,0.006303751380444984
182,0.007498011887340714
183,0.004699276207451104
184,0.004073989910137396
185,0.006468193046352944
186,0.006317233181423532
187,0.003453961385289021
188,0.005752534272919263
189,0.007902529640254388
190,0.0057659148927208135
191,0.006817287330311852
192,0.006719307693540004
193,0.0058757072608059385
194,0.007755834861684515
195,0.0069039167723078665
196,0.007010947754432758
197,0.00615177813192577
198,0.005788704724728943
199,0.00530714420490449
200,0.007501904273102591
201,0.0041460271096720016
202,0.004932435379597484
