snr_db,0,0.125,0.25,0.375,0.5
-29.5,0.95,0.9,0.85,0.69,0.59
-30.0,0.72,0.67,0.56,0.43,0.37
-30.5,0.5,0.48,0.36,0.17,0.13
-31.0,0.22,0.18,0.15,0.04,0.03
